Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000186827.10,TNFRSF4,9.23756,15.2584,0.776524,2.56503,2.92234,1.80012,3.82554,0.627776,0.696072,0.433878,1.07042,1.25676,1.51674,1.31074,1.00611,0.59837,0.448421,0.465603,0.672487,0.536857,9.47877,0.11721,11.0029,3.40601,4.07947,2.02461,4.55059,2.15913,1.34158,1.91164,3.20498,2.54039,3.18482,2.10538,4.30445,0.607381,13.8513,2.68277,1.63613,2.41166,1.9558,0.745113,3.07547,6.22104,1.87947,1.92813,7.26452,23.2338,2.75109,0.96684,9.95206,3.07209,2.28543,5.45951
ENSG00000176022.4,B3GALT6,14.8647,14.8365,12.7458,14.743,16.7567,12.6481,14.8299,10.9376,14.3451,10.0577,13.702,13.0824,15.6484,18.1414,12.5009,14.3328,11.3118,9.18509,10.8194,8.18991,15.9684,29.9052,11.9547,15.7761,20.0345,12.3868,9.85327,11.7923,10.9452,11.6618,18.5873,7.7483,6.40932,7.68876,13.4718,8.79121,15.0709,10.4592,7.08472,18.4557,15.9016,8.31665,18.5498,16.291,15.6651,15.244,11.2732,18.9761,10.7456,13.4474,18.0893,23.0967,13.375,4.41826
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000171608.15,PIK3CD,9.18189,11.4743,3.61195,10.509,9.78622,9.4233,10.9406,4.143,5.56862,3.03983,6.54845,7.29307,8.15273,7.30733,4.80408,4.57435,2.72936,2.79804,4.58794,4.58069,7.34,8.24163,111.7,10.599,14.0773,9.4146,7.14466,9.29016,6.87042,9.64654,12.1961,2.7405,1.61935,5.77365,8.87587,2.14619,23.9939,6.20279,0.824632,10.4476,14.4936,1.75359,5.16874,8.70344,4.39521,4.88559,15.7367,83.9412,5.03416,9.40802,11.1744,12.3626,10.2526,96.7038
ENSG00000009724.16,MASP2,4.14575,2.20857,2.06929,3.80396,3.91167,4.78492,4.32441,0.914841,1.21627,1.44914,18,17.5235,2.06578,1.98474,1.1783,1.3367,1.70289,0.895447,1.68687,1.02404,4.19044,2.43727,3.26945,5.52043,6.96012,5.22006,4.12927,5.02035,1.92493,4.36214,6.30118,1.10875,0.932707,0.99466,1.50393,119.574,3.67716,4.20279,2.00528,9.59838,6.38645,2.09283,5.09142,3.74496,6.35436,6.83457,5.56142,4.0477,3.2357,3.93172,4.59085,7.73446,3.587,0.369035
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000184908.17,CLCNKB,0.1668,0.528623,1.56723,0.608719,0.335099,0.375405,0.149561,0.143001,0.212807,0.0586032,8.38997,10.1559,0.168321,0.116304,0.0702783,0.332032,0.063087,0.0513087,0.281797,0.128857,0.28866,0.0342184,0.00901605,1.05061,0.866409,0.449152,0.298009,0.575763,0.0695216,0.397724,0.690992,2.29799,0.916493,137.293,165.379,0.0206374,0.436415,10.6206,0.0432734,1.25897,1.5519,0.438303,3.28639,0.807271,0.137554,0.165177,0.109448,0.0946243,0.507691,4.69082,22.7818,1.3855,0.515969,0
ENSG00000117118.9,SDHB,83.8592,81.7291,104.82,94.2728,90.7998,104.187,84.226,46.6468,58.2863,52.2215,96.7259,83.9014,64.6546,77.9711,44.0469,51.7652,56.6536,45.3735,61.4575,53.3442,81.7651,117.26,144.514,71.0604,72.8107,90.0647,104.154,90.0633,82.9173,93.258,83.6811,122.813,168.243,95.1223,104.519,124.93,81.1531,67.7655,177.639,94.163,61.0341,37.6777,60.6042,54.9552,65.7119,68.5217,88.202,74.8022,87.4159,91.0406,75.6008,84.7228,73.5014,52.7293
ENSG00000244038.9,DDOST,120.197,126.788,150.213,193.582,163.379,128.639,134.335,29.0977,36.0228,40.1341,63.1468,58.9497,43.7856,50.4348,29.1999,39.5847,44.0623,33.1057,42.8709,30.1094,134.656,426.253,248.275,169.078,192.233,97.7383,118.65,99.6331,128.796,94.5602,179.221,86.5438,61.2508,69.2529,77.044,62.4454,166.079,139.536,46.6044,137.347,225.559,131.543,171.893,122.741,109.719,118.872,125.177,223.195,129.639,174.937,195.446,187.729,143.888,68.8467
ENSG00000117298.14,ECE1,140.533,101.548,139.869,93.8829,122.639,161.275,101.672,12.9912,14.3297,15.8959,5.51548,8.17686,20.5873,16.5238,12.2269,14.8333,13.8543,15.769,12.184,14.7618,126.557,124.976,10.7316,127.704,131.59,113.991,69.6004,70.5415,28.7905,65.7592,97.59,57.3971,26.8066,26.2507,36.8158,30.7815,128.014,48.0988,11.9823,129.837,130.065,49.2089,80.3134,94.9635,46.9881,50.4942,63.276,74.4323,44.7586,41.4507,102.037,94.1285,77.7013,62.9175
