Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000142949.16,PTPRF,57.0938,55.6109,10.8415,17.811,17.8325,13.1753,53.4169,17.4723,23.1534,21.5194,13.8255,17.1591,32.3362,27.3564,12.3665,18.8109,23.1656,14.3709,18.2154,16.188,69.9867,23.0239,0.822559,50.8936,44.2501,43.6847,58.8475,40.0524,98.3561,35.5862,48.2993,4.25428,0.663278,16.8458,22.7178,42.7091,37.0193,84.4703,1.05852,53.4534,36.2733,24.8543,31.7157,65.1894,115.411,102.715,41.6755,4.5036,36.6765,15.7718,39.2223,54.7544,67.5084,0.283994
ENSG00000117425.13,PTCH2,4.0516,1.69133,3.91388,4.72283,5.27284,3.64662,4.40104,3.57617,5.61733,4.93876,20.6935,23.5488,9.64583,7.56202,3.10782,8.39566,7.2287,3.17748,1.74957,3.35064,5.28192,0.619182,0.264639,6.74256,10.0867,6.16528,2.72273,5.7328,1.02414,5.27035,9.78295,0.966678,0.488347,1.14704,0.96845,0.800926,1.68486,7.74079,1.34812,32.2096,41.7156,0.570171,18.3705,5.577,3.49891,3.67197,2.90327,3.66493,1.36132,50.0916,7.55205,14.7439,5.39959,0.218987
ENSG00000157184.6,CPT2,9.31884,7.79499,19.7813,6.21717,8.3961,7.22357,11.9593,4.15323,4.11806,5.03666,5.51565,5.96248,5.09036,4.58433,3.34489,4.602,4.67188,4.44005,5.99247,4.71107,9.55453,11.8929,23.2496,7.19398,9.73413,8.02217,16.7508,8.31782,14.452,8.98297,11.2108,5.75614,9.85017,10.6097,12.5473,26.3525,9.43023,11.3306,10.7205,10.2754,9.34746,6.58305,15.5998,10.3196,9.22538,9.93832,13.413,10.114,13.1927,19.2134,11.3683,9.075,9.11054,2.70019
ENSG00000160712.12,IL6R,16.1114,15.1935,7.56139,6.07759,13.6233,17.4429,12.1619,2.73759,2.51381,3.07846,1.18455,1.64346,3.10317,2.75268,2.70913,3.03733,2.57078,2.48617,5.5952,4.46226,11.4124,4.54585,6.70894,14.3964,18.1552,25.7312,19.8602,25.3769,7.38618,27.0358,25.9063,5.85065,3.64374,8.26235,4.1569,38.0337,29.4549,5.4187,67.242,18.5856,16.1254,3.64094,13.5651,11.6591,9.53729,11.0667,22.0268,23.9987,10.6037,6.17905,5.96684,23.286,11.0959,52.6906
ENSG00000143622.10,RIT1,20.5664,20.2789,13.2409,24.7387,23.4887,20.2649,24.883,6.04561,6.07314,7.59846,10.6026,9.81599,6.10888,6.87698,5.69394,8.7618,7.10053,6.26423,10.0811,8.42465,19.3712,16.0766,30.1791,22.9251,22.3033,17.7787,13.3755,16.7093,32.0636,16.6116,18.7329,8.22186,5.72554,13.2009,15.749,4.36051,32.2073,14.5497,4.35298,21.8701,16.6295,4.36695,15.6991,18.6392,16.078,15.7381,15.4812,27.5985,16.6822,15.7113,18.4333,20.6606,28.7699,27.7895
ENSG00000160789.19,LMNA,199.229,169.505,107.94,300.598,212.842,242.363,145.394,10.0509,8.29817,11.334,21.0495,23.4216,11.031,9.62297,11.8861,15.4544,8.65058,11.4078,24.7087,16.0773,183.684,392.66,87.4466,225.7,167.702,126.944,110.737,155.837,164.092,132.883,169.053,77.9224,50.4412,45.7923,64.592,27.0291,158.442,119.651,60.2232,224.141,166.537,24.8855,57.6316,105.189,297.706,272.557,85.1078,61.9517,77.2485,58.3796,140.381,255.829,192.208,6.02904
ENSG00000143183.16,TMCO1,23.9519,23.3619,33.6906,30.448,27.2339,25.7258,21.9578,12.8336,12.647,14.5789,15.5913,13.8717,11.5189,14.7527,10.3925,15.5407,13.4285,12.0935,20.5113,13.5111,25.4437,43.309,29.7146,28.4339,31.0605,20.054,23.4592,19.9288,24.8792,19.302,27.7972,11.6393,7.9319,16.2714,22.2597,17.9316,24.8051,26.2533,8.15198,26.5129,27.595,10.9025,31.4435,24.7265,18.0909,18.9833,25.3789,18.8271,20.0051,35.0729,34.9337,28.7586,26.6148,5.18657
ENSG00000181873.12,IBA57,2.35491,2.28261,3.63946,1.96186,1.94382,1.89663,2.37331,1.06268,1.24705,1.30141,4.64887,4.35532,1.41523,1.47818,1.02923,1.10055,1.28346,1.12449,1.19019,1.04393,2.16129,2.80826,2.54434,2.9073,3.2435,2.74933,2.60454,2.29085,2.47093,2.29573,3.20958,1.71721,2.26999,1.82919,2.56589,1.88207,3.86507,2.20835,3.59797,2.49931,4.09739,1.90283,1.94291,2.24866,3.58484,3.6951,2.64568,2.66065,2.44963,9.40829,3.04338,4.32723,2.46244,1.093
ENSG00000095002.13,MSH2,8.88525,6.72849,8.20455,5.37704,6.14566,6.84982,8.51926,5.33907,7.2945,8.50009,23.4386,19.8336,10.2051,12.0253,5.93511,8.7834,9.2893,6.65892,10.838,6.21899,9.95509,19.6841,34.5456,11.2329,11.251,6.82091,6.93496,5.37865,9.55427,5.67638,7.78759,3.59959,3.29477,3.39638,5.91648,1.91629,7.05148,9.16804,3.33224,13.9981,8.97432,3.28381,9.14565,6.02467,11.2049,11.7014,8.28924,9.41277,4.91153,21.1117,13.4865,10.1007,9.87667,1.35856
ENSG00000169604.19,ANTXR1,55.1269,38.7124,54.9348,318.464,266.182,217.31,59.6422,13.287,10.2249,16.806,8.22058,12.4297,12.3986,9.59056,13.195,17.2546,9.78061,12.5771,23.2338,16.1363,50.7231,140.231,0.141553,78.586,101.652,47.7406,28.5476,63.4038,18.1758,59.9636,70.4685,27.6965,6.57999,7.34298,9.5111,1.91319,69.521,37.0938,5.84945,65.1272,138.158,2.0656,18.2173,43.6639,40.9385,51.1421,22.2914,15.7087,10.6949,10.3707,60.5578,105.805,69.7814,0.104811
