Gene ID	Ensembl ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
KCND3	ENSG00000171385.9	4.25812	5.31467	1.80616	8.0776	4.4275	12.0523	10.8345	11.3481	15.6105	10.2384	62.6346	56.0052	19.4333	23.6977	9.49188	11.2066	13.1275	6.73731	3.02151	10.5779	3.0617	0.484206	0.0305298	4.07869	4.5831	9.13417	3.94493	15.332	2.01068	15.9708	10.7177	7.78216	5.27886	1.22877	1.29175	5.33413	3.07461	2.34176	1.4654	3.12096	0.316532	2.9157	6.26369	12.3217	6.50732	7.24986	2.69408	4.97037	2.49724	3.33773	2.16675	9.57865	5.97033	0.0664357
CASQ2	ENSG00000118729.11	18.9739	11.6532	0.642544	33.3934	183.101	332.529	85.3531	1.21076	1.05362	1.48229	1.72737	3.65338	0.942631	0.817671	1.2704	1.96482	1.4278	1.53049	1.57846	2.08767	12.5473	0.107445	0.130527	13.6763	13.9448	106.614	22.9195	87.5248	6.88614	96.6684	21.2888	416.66	439.094	0.609053	5.20318	0.289638	7.43749	4.22334	126.626	15.1233	3.60795	0.246267	0.326842	5.56922	3.21335	6.28824	3.39787	0.969856	4.77667	3.05527	6.88217	29.8012	6.45327	0.116345
RYR2	ENSG00000198626.15	1.22055	0.68647	0.0682459	11.8181	11.8397	18.5263	3.18764	1.77213	3.39709	6.39116	26.5329	27.9187	8.91834	8.82722	3.23344	2.01982	9.40561	4.68769	1.21862	1.23768	0.576418	0.0159742	0.0250181	2.89911	1.90381	3.59081	1.17344	8.37558	0.596016	12.8138	1.38613	75.7782	82.295	0.063504	0.178313	0.0685267	4.52112	0.850736	0.087329	0.494236	4.55249	2.01067	4.25422	2.23428	0.306994	0.564551	0.314034	1.29735	1.29251	2.67287	5.22045	1.68634	0.912075	0.0426948
CALM2	ENSG00000143933.16	519.498	469.51	528.188	862.397	849.005	933.024	496.991	820.947	1013.17	899.473	1496.85	1048.39	894.094	1492.51	879.767	990.464	918.116	697.244	1196.84	801.514	529.628	774.484	559.251	568.879	601.629	799.916	580.417	751.327	332.984	818.782	694.46	233.709	205.412	279.886	408.841	173.942	632.459	430.454	131.846	1107.29	617.146	95.5759	620.57	484.649	366.884	365.051	535.619	659.572	268.082	839.382	530.855	781.77	459.949	234.453
CAV3	ENSG00000182533.6	0.153751	0.30709	0.0256451	0.0616977	3.96763	2.06812	0.126835	0.042024	0.0765374	0.0919669	0.0763715	0.212862	0.068993	0.057974	0.0367588	0.107159	0.126939	0.0682891	0.035734	0.169081	0.250822	0.0331435	0.0653747	0.0538906	0.0661693	0.116578	0.124459	0.164935	0.0548598	0.127165	0.185842	10.3902	13.0291	0.0156629	0.00850047	0	1.00108	0.178455	46.4796	0.266703	0.0598729	0	0	0.723604	0.149521	0.154277	0.108155	0.12363	0.0884939	0.771093	0.0925289	0.087592	0.335915	0
GPD1L	ENSG00000152642.10	38.8751	46.4205	47.4622	37.4748	32.0531	81.8657	73.2134	12.2964	17.9235	14.4004	32.0336	25.0238	23.2767	33.1315	14.7756	17.0933	16.9497	11.7313	27.1477	14.1202	43.626	8.38173	3.23732	26.6314	28.6105	38.181	39.6504	54.999	43.857	48.1703	47.4295	73.7763	62.7695	17.6979	14.3742	1.27427	36.7045	25.2603	101.871	36.6924	26.7937	12.2229	18.2997	43.8581	20.8781	20.9051	27.1872	17.3273	27.6826	9.38181	50.1656	29.8758	27.8497	2.62744
SCN5A	ENSG00000183873.15	0.248842	0.219832	0.0996036	1.85605	0.448653	0.812062	0.855899	0.331083	0.29543	0.197507	0.16545	0.190044	0.639016	0.498528	0.102659	0.758485	0.219946	0.151946	0.0733927	0.0870519	0.463938	0.0979632	0.031085	5.34773	4.11862	0.763061	0.369949	0.325361	0.137934	0.383693	0.425291	36.1311	35.1075	0.0446342	0.0909832	0.0166013	0.15511	0.153104	0.472394	2.92132	1.52694	0.0442153	0.461995	0.987094	0.266881	0.27673	0.290489	0.1702	0.207828	0.736711	0.401903	0.872472	1.82716	0.109965
SCN10A	ENSG00000185313.6	0	0	0	0.0608798	0.0223175	0.0173548	0	0	0	0	0	0	0.00968081	0.0103378	0	0	0	0	0.00513898	0	0	0	0	0	0.0166988	0	0	0	0	0	0	0.0666701	0.0440886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131783	0	0.458663	0	0	0	0
SLMAP	ENSG00000163681.14	10.7687	9.00107	11.1981	41.2252	34.015	64.5242	37.7363	3.28018	3.42869	5.94112	10.4481	8.75576	3.79639	4.84264	3.19562	3.77965	6.09047	4.26598	4.42936	3.43615	11.5922	11.1512	10.5615	17.6602	17.1568	65.6	21.7541	52.2248	14.1945	57.2878	38.8364	17.8022	13.7353	4.27754	5.55127	2.64618	10.4002	10.346	12.1571	13.146	14.5851	2.83362	7.1517	16.2173	11.0896	12.3191	10.0372	5.42817	9.76176	13.4648	13.2804	38.7763	15.7219	2.5958
FGF12	ENSG00000114279.13	1.43311	1.33869	22.4422	0.256479	0.458683	0.424914	0.396426	10.405	17.7117	6.38257	18.9466	12.4078	19.0248	32.7654	5.95258	11.6383	12.1351	4.45118	2.84131	6.30932	1.02512	0.0590765	0.0246461	0.283601	0.70812	0.863814	0.30735	2.66156	0.258464	4.40019	0.314076	25.4293	18.2866	0.380605	0.556981	0.0744774	0.675659	0.922833	0.193312	0.618832	0.521292	1.01463	4.85626	0.718339	0.130831	0.213023	0.187317	4.69271	0.30823	0.854579	1.12383	0.421973	0.555712	0.0102393
TECRL	ENSG00000205678.7	0.0162901	0.0149792	0.063588	0.0205464	0.0374667	0.0205678	0	0.0102591	0.0101918	0.0110953	0.0142035	0.0180747	0.0178846	0.0110147	0.0107612	0.0459865	0.0124286	0.00947054	0.00648321	0.0147232	0.0158595	0	0.0162003	0	0	0.0172544	0.0111489	0.0159195	0.00778549	0.0188875	0	112.823	119.094	0.00634411	0.00373918	0.0097527	0.0229447	0.0130555	8.94244	0.022614	0.0215274	0.00630502	0.00873238	0.0153378	0.0345944	0.0325288	0.0126018	0	0.00892852	0.039638	0.153307	0.0177969	0.020274	0.0124526
ANK2	ENSG00000145362.17	12.7001	8.91693	6.07913	4.63679	6.56679	7.83838	4.35248	29.2788	43.1515	32.2974	95.2153	96.7489	50.2003	60.6225	25.0721	34.878	38.4368	23.158	22.3812	25.4544	7.18465	2.1205	1.74408	15.8869	8.81311	18.7351	6.49505	11.2835	1.27104	12.0853	7.04894	15.9231	11.1495	10.4073	12.2584	0.167704	3.17405	3.30598	10.4382	11.4939	13.0454	0.238365	14.5529	3.12052	3.61882	4.55942	5.42702	6.41993	1.9535	5.12279	7.69504	9.40729	8.42756	0.0284319
TRDN	ENSG00000186439.12	0.884189	0.279176	0.21285	0.0881356	1.56592	5.40823	0.0262436	0.332554	0.318383	0.402911	0.246268	0.311241	0.258814	0.269026	0.45145	1.62461	0.357461	0.224561	2.4644	1.04465	0.376551	0.0394577	0.0515658	0.32682	0.326687	0.27588	0.123506	0.111124	0.0305378	0.0932016	7.30632	55.5791	40.6461	0.0775687	0.0743101	0.0275667	0.0998455	0.7747	361.933	1.5947	0.0995102	0.0297177	6.57811	0.10177	0.130368	0.185851	0.0990549	0.0571967	0.0560778	4.01546	0.119918	0.47578	0.132389	0.0412069
CACNA2D1	ENSG00000153956.15	12.2353	7.81504	10.879	13.6946	12.8368	17.5308	11.6373	6.34269	11.003	8.3667	15.784	11.8979	10.4538	17.6165	9.06264	14.7717	10.5106	5.99897	5.92923	3.94437	6.33536	17.3774	0.0307625	9.87058	8.6101	22.5908	7.33436	11.4695	1.77043	12.6802	8.90818	8.20654	7.62702	2.20354	2.30711	0.374017	5.51874	3.24924	37.2305	8.78785	10.0864	0.452977	11.5955	7.82162	4.20849	3.57183	2.86014	3.42761	3.76333	4.03316	14.818	11.8715	5.828	0.0258074
