Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000171735.18,CAMTA1,5.95195,5.31641,5.24022,12.7986,11.5444,13.8103,7.92147,10.3231,15.1402,14.6767,52.8215,35.199,17.9756,29.2645,10.4312,17.6396,14.0672,13.0961,12.6036,10.1475,6.57305,5.86728,5.70101,7.00506,6.60015,10.3896,6.39142,9.8555,3.92187,10.1794,7.71239,6.22438,4.70292,5.78018,7.44734,2.84413,8.19472,5.53691,4.57154,9.07807,6.37487,1.74727,12.0206,7.96752,4.75011,4.76834,4.24045,8.88229,4.52391,10.9858,8.1502,8.11522,6.15732,1.16292
ENSG00000116688.16,MFN2,60.7954,53.4474,44.8288,52.3031,57.6186,74.6745,79.3492,42.4389,51.447,50.2839,88.2514,81.6991,64.8586,74.5587,41.7129,54.2786,54.8983,45.394,60.5997,53.635,58.445,76.6298,57.4752,58.7789,56.562,106.305,63.3505,119.713,81.8457,143.115,59.8109,137.481,173.372,29.8203,39.3089,39.3594,63.6268,45.5927,158.447,63.0193,58.1392,14.7777,55.8728,68.1756,94.0585,99.2861,57.5389,53.7937,52.4337,59.3191,92.6395,72.6984,71.7272,46.0569
ENSG00000117118.9,SDHB,83.8592,81.7291,104.82,94.2728,90.7998,104.187,84.226,46.6468,58.2863,52.2215,96.7259,83.9014,64.6546,77.9711,44.0469,51.7652,56.6536,45.3735,61.4575,53.3442,81.7651,117.26,144.514,71.0604,72.8107,90.0647,104.154,90.0633,82.9173,93.258,83.6811,122.813,168.243,95.1223,104.519,124.93,81.1531,67.7655,177.639,94.163,61.0341,37.6777,60.6042,54.9552,65.7119,68.5217,88.202,74.8022,87.4159,91.0406,75.6008,84.7228,73.5014,52.7293
ENSG00000117298.14,ECE1,140.533,101.548,139.869,93.8829,122.639,161.275,101.672,12.9912,14.3297,15.8959,5.51548,8.17686,20.5873,16.5238,12.2269,14.8333,13.8543,15.769,12.184,14.7618,126.557,124.976,10.7316,127.704,131.59,113.991,69.6004,70.5415,28.7905,65.7592,97.59,57.3971,26.8066,26.2507,36.8158,30.7815,128.014,48.0988,11.9823,129.837,130.065,49.2089,80.3134,94.9635,46.9881,50.4942,63.276,74.4323,44.7586,41.4507,102.037,94.1285,77.7013,62.9175
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
ENSG00000117308.14,GALE,6.22641,6.99581,9.72879,5.37639,5.46065,3.78707,10.6968,4.19065,6.00194,6.10712,12.4158,12.6243,9.72054,9.53294,3.64716,5.33083,5.85347,5.09103,5.54918,3.86108,8.63562,11.7534,19.5738,10.6054,9.88196,4.80188,23.4355,4.49672,39.8322,4.64165,9.83473,2.6188,1.93531,17.2941,20.7772,21.8554,17.5386,40.9137,1.44821,7.37684,6.72797,4.5018,10.8182,13.5393,7.19238,7.24263,19.007,18.3281,37.8777,10.919,7.18849,8.35296,22.1451,2.99271
ENSG00000179163.11,FUCA1,33.3941,32.4421,44.0306,58.6832,45.4272,34.9232,24.5451,6.38735,7.02816,7.73909,12.881,10.872,8.06955,10.0367,6.50843,11.1105,8.16543,6.64082,14.3648,7.41113,28.5932,4.86574,45.9807,29.1423,42.2827,25.9251,65.5119,25.4889,16.6126,22.6443,37.6252,11.7681,6.96344,30.5704,50.489,24.37,41.2577,65.1916,8.59185,27.2825,39.7876,13.5375,34.7969,39.4006,17.953,20.0293,74.3925,60.1725,33.0153,42.1617,78.0754,36.002,25.5065,11.2631
ENSG00000117713.18,ARID1A,26.055,21.5751,21.1199,28.4989,25.9576,31.4493,32.2639,9.2186,10.4751,10.6469,29.3386,32.4549,13.8086,12.1999,8.37521,10.0248,11.9133,8.42075,12.1404,8.96392,25.8875,25.0202,51.5399,28.8339,31.9771,27.2731,22.2391,23.9265,28.5406,23.282,33.739,10.9302,9.33664,9.38636,14.9593,10.0425,31.0712,26.1924,13.786,39.7431,36.4904,10.1827,24.0102,25.9706,29.1538,30.1194,26.9634,37.3643,21.8782,34.5622,42.7936,38.9495,31.1372,11.1588
ENSG00000126705.13,AHDC1,21.9186,14.5772,32.3666,39.4967,32.6185,53.8217,25.7532,8.90322,12.699,11.5914,56.5623,61.4694,20.2115,16.5513,8.65318,12.6671,13.8866,8.78724,6.64289,7.11557,22.3729,12.0489,7.55683,52.2337,47.0323,28.7239,13.5229,31.6644,49.2376,28.4758,48.3147,14.1241,11.0867,8.21123,11.8662,4.86668,22.3443,25.2781,21.6183,39.1398,48.1132,5.77255,36.16,23.3233,44.3063,51.7526,12.7381,27.1077,12.6564,21.712,45.9318,60.5437,44.2245,1.29874
