Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000176022.4,B3GALT6,14.8647,14.8365,12.7458,14.743,16.7567,12.6481,14.8299,10.9376,14.3451,10.0577,13.702,13.0824,15.6484,18.1414,12.5009,14.3328,11.3118,9.18509,10.8194,8.18991,15.9684,29.9052,11.9547,15.7761,20.0345,12.3868,9.85327,11.7923,10.9452,11.6618,18.5873,7.7483,6.40932,7.68876,13.4718,8.79121,15.0709,10.4592,7.08472,18.4557,15.9016,8.31665,18.5498,16.291,15.6651,15.244,11.2732,18.9761,10.7456,13.4474,18.0893,23.0967,13.375,4.41826
ENSG00000205090.8,TMEM240,3.29426,3.08961,2.39958,7.55524,6.07757,5.96808,8.29213,11.6485,18.3887,19.233,59.7245,57.8529,26.7017,28.4286,13.8266,12.2355,22.8807,14.8425,5.70846,7.00453,3.33129,4.38393,0.164737,16.5964,12.7306,14.2111,4.76666,12.2907,1.81555,11.1648,9.3938,2.93476,2.16574,1.2319,1.80784,0.447633,3.82775,1.84031,1.19392,6.88603,15.6377,0.419042,14.1797,8.33383,1.9606,2.11526,2.46952,3.22422,1.7131,3.29713,5.6692,17.7394,7.3674,0.429757
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000171735.18,CAMTA1,5.95195,5.31641,5.24022,12.7986,11.5444,13.8103,7.92147,10.3231,15.1402,14.6767,52.8215,35.199,17.9756,29.2645,10.4312,17.6396,14.0672,13.0961,12.6036,10.1475,6.57305,5.86728,5.70101,7.00506,6.60015,10.3896,6.39142,9.8555,3.92187,10.1794,7.71239,6.22438,4.70292,5.78018,7.44734,2.84413,8.19472,5.53691,4.57154,9.07807,6.37487,1.74727,12.0206,7.96752,4.75011,4.76834,4.24045,8.88229,4.52391,10.9858,8.1502,8.11522,6.15732,1.16292
ENSG00000173614.13,NMNAT1,4.45384,4.24459,6.26316,4.42206,4.46107,3.71273,5.4113,2.33672,2.72182,2.86631,2.09453,2.21337,2.91512,3.14415,2.34168,2.84477,2.83485,2.43937,3.55303,2.76506,4.30838,10.711,5.93614,5.36647,5.46295,5.29332,6.61775,5.15487,4.97723,5.82949,4.40399,5.08865,5.02906,4.23297,6.09978,3.09551,4.15254,4.60595,6.98974,5.09589,3.79132,1.97809,4.54592,4.95291,3.79692,4.00128,5.89532,4.90784,3.44648,5.8511,7.54287,5.19627,4.84753,2.32129
ENSG00000120942.13,UBIAD1,9.84183,7.40033,7.93876,9.2394,8.67816,11.0198,10.4835,2.99972,2.95392,4.18851,6.44954,6.35703,3.51802,3.49193,3.15161,3.83337,4.05813,3.59175,8.41272,3.99813,9.18483,12.0383,11.9848,9.12446,12.046,8.72157,6.85345,9.32086,6.03287,9.28367,11.5882,3.9375,3.63627,3.0935,6.36553,4.67403,7.59839,7.74011,8.93077,12.895,13.5922,4.56666,8.0261,8.39137,8.04691,8.52929,7.79774,8.10502,6.93167,15.9066,8.96651,13.0269,8.32605,2.77318
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000116688.16,MFN2,60.7954,53.4474,44.8288,52.3031,57.6186,74.6745,79.3492,42.4389,51.447,50.2839,88.2514,81.6991,64.8586,74.5587,41.7129,54.2786,54.8983,45.394,60.5997,53.635,58.445,76.6298,57.4752,58.7789,56.562,106.305,63.3505,119.713,81.8457,143.115,59.8109,137.481,173.372,29.8203,39.3089,39.3594,63.6268,45.5927,158.447,63.0193,58.1392,14.7777,55.8728,68.1756,94.0585,99.2861,57.5389,53.7937,52.4337,59.3191,92.6395,72.6984,71.7272,46.0569
ENSG00000184908.17,CLCNKB,0.1668,0.528623,1.56723,0.608719,0.335099,0.375405,0.149561,0.143001,0.212807,0.0586032,8.38997,10.1559,0.168321,0.116304,0.0702783,0.332032,0.063087,0.0513087,0.281797,0.128857,0.28866,0.0342184,0.00901605,1.05061,0.866409,0.449152,0.298009,0.575763,0.0695216,0.397724,0.690992,2.29799,0.916493,137.293,165.379,0.0206374,0.436415,10.6206,0.0432734,1.25897,1.5519,0.438303,3.28639,0.807271,0.137554,0.165177,0.109448,0.0946243,0.507691,4.69082,22.7818,1.3855,0.515969,0
ENSG00000142627.12,EPHA2,26.0324,35.8626,11.8903,19.4118,19.2663,12.3245,17.1975,1.92296,1.87209,2.2302,1.54603,2.42159,2.51137,1.98098,1.92902,2.25225,1.80255,2.26672,2.8952,2.90883,28.2544,11.6565,0.386457,30.6363,23.7486,9.84595,12.988,11.5785,197.596,11.2093,34.84,12.5755,8.27901,11.9505,22.7137,8.5898,31.9229,38.7628,3.35606,41.7076,10.7686,7.15971,12.506,18.6944,61.9264,57.2861,18.1325,11.7261,12.9796,4.1571,35.5765,33.8108,101.357,0.0967222
