Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000131697.17,NPHP4,7.91019,8.19833,4.73534,5.87667,6.5902,5.83558,6.51237,3.45856,4.90492,5.40978,8.06158,10.0074,8.18542,6.15298,4.44664,4.4237,6.84004,4.17297,3.47974,3.09932,8.56639,7.80954,6.44369,9.15004,10.7289,6.00858,4.70351,5.84507,4.37544,5.56756,6.70611,2.79748,1.59892,3.75027,4.90315,1.53755,9.98693,5.12152,1.74277,13.692,10.4295,2.79323,22.2512,7.007,11.9718,11.3199,5.25085,6.01049,3.74882,20.9908,21.5424,10.0467,7.71905,1.77939
ENSG00000177000.10,MTHFR,12.1655,12,9.64992,11.8061,13.0307,13.1043,11.1002,4.17946,5.5384,5.05707,14.5074,15.5623,8.11394,7.05904,4.59052,5.68627,5.28859,4.04465,5.24998,3.9282,11.4122,7.67904,8.69039,10.9404,15.8835,11.9004,9.61494,12.7525,8.74434,10.8396,14.8533,14.7015,8.5043,8.27033,8.2701,4.96152,21.4985,5.89974,6.68766,23.971,25.6356,4.13256,20.1781,12.623,12.1435,12.9163,13.7887,21.3485,11.1363,15.5602,20.5758,13.642,9.46902,5.16997
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000184908.17,CLCNKB,0.1668,0.528623,1.56723,0.608719,0.335099,0.375405,0.149561,0.143001,0.212807,0.0586032,8.38997,10.1559,0.168321,0.116304,0.0702783,0.332032,0.063087,0.0513087,0.281797,0.128857,0.28866,0.0342184,0.00901605,1.05061,0.866409,0.449152,0.298009,0.575763,0.0695216,0.397724,0.690992,2.29799,0.916493,137.293,165.379,0.0206374,0.436415,10.6206,0.0432734,1.25897,1.5519,0.438303,3.28639,0.807271,0.137554,0.165177,0.109448,0.0946243,0.507691,4.69082,22.7818,1.3855,0.515969,0
ENSG00000159423.16,ALDH4A1,30.9579,25.9171,20.4293,17.6147,22.6468,24.2557,20.9001,51.1524,56.3962,56.6534,13.9368,17.3035,61.3765,57.2807,29.5025,27.7762,45.1466,58.397,11.3665,51.1266,22.8336,12.121,10.6606,13.6566,15.7103,11.7154,8.05921,18.9936,49.5789,21.2099,17.6345,16.6624,16.4853,150.575,50.4136,268.216,12.2394,10.4698,41.3836,22.5197,14.2574,2.81042,17.758,39.029,23.5563,20.3373,6.69366,11.7016,14.7317,6.93626,15.2702,19.2952,30.8258,3.40818
ENSG00000117298.14,ECE1,140.533,101.548,139.869,93.8829,122.639,161.275,101.672,12.9912,14.3297,15.8959,5.51548,8.17686,20.5873,16.5238,12.2269,14.8333,13.8543,15.769,12.184,14.7618,126.557,124.976,10.7316,127.704,131.59,113.991,69.6004,70.5415,28.7905,65.7592,97.59,57.3971,26.8066,26.2507,36.8158,30.7815,128.014,48.0988,11.9823,129.837,130.065,49.2089,80.3134,94.9635,46.9881,50.4942,63.276,74.4323,44.7586,41.4507,102.037,94.1285,77.7013,62.9175
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
ENSG00000162552.14,WNT4,0.315391,0.713677,6.13065,0.173657,0.224865,0.134541,3.19613,0.634625,0.747517,0.416635,0.158905,0.25678,0.874476,0.74689,0.928014,2.90792,0.425995,0.386684,0.651314,0.393638,1.15804,0.0643463,0.335541,1.8347,8.10207,0.364536,2.22105,0.314063,12.8538,0.383928,10.3735,0.0847114,0.0500068,0.527844,0.852868,0.401334,0.867013,2.4275,0.560414,0.433473,22.4515,1.16316,6.6191,7.51014,29.2834,22.799,3.27569,0.491498,3.27903,1.17215,1.51139,4.0802,7.42263,0.228349
