Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000176022.4,B3GALT6,14.8647,14.8365,12.7458,14.743,16.7567,12.6481,14.8299,10.9376,14.3451,10.0577,13.702,13.0824,15.6484,18.1414,12.5009,14.3328,11.3118,9.18509,10.8194,8.18991,15.9684,29.9052,11.9547,15.7761,20.0345,12.3868,9.85327,11.7923,10.9452,11.6618,18.5873,7.7483,6.40932,7.68876,13.4718,8.79121,15.0709,10.4592,7.08472,18.4557,15.9016,8.31665,18.5498,16.291,15.6651,15.244,11.2732,18.9761,10.7456,13.4474,18.0893,23.0967,13.375,4.41826
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000171735.18,CAMTA1,5.95195,5.31641,5.24022,12.7986,11.5444,13.8103,7.92147,10.3231,15.1402,14.6767,52.8215,35.199,17.9756,29.2645,10.4312,17.6396,14.0672,13.0961,12.6036,10.1475,6.57305,5.86728,5.70101,7.00506,6.60015,10.3896,6.39142,9.8555,3.92187,10.1794,7.71239,6.22438,4.70292,5.78018,7.44734,2.84413,8.19472,5.53691,4.57154,9.07807,6.37487,1.74727,12.0206,7.96752,4.75011,4.76834,4.24045,8.88229,4.52391,10.9858,8.1502,8.11522,6.15732,1.16292
ENSG00000173614.13,NMNAT1,4.45384,4.24459,6.26316,4.42206,4.46107,3.71273,5.4113,2.33672,2.72182,2.86631,2.09453,2.21337,2.91512,3.14415,2.34168,2.84477,2.83485,2.43937,3.55303,2.76506,4.30838,10.711,5.93614,5.36647,5.46295,5.29332,6.61775,5.15487,4.97723,5.82949,4.40399,5.08865,5.02906,4.23297,6.09978,3.09551,4.15254,4.60595,6.98974,5.09589,3.79132,1.97809,4.54592,4.95291,3.79692,4.00128,5.89532,4.90784,3.44648,5.8511,7.54287,5.19627,4.84753,2.32129
ENSG00000177000.10,MTHFR,12.1655,12,9.64992,11.8061,13.0307,13.1043,11.1002,4.17946,5.5384,5.05707,14.5074,15.5623,8.11394,7.05904,4.59052,5.68627,5.28859,4.04465,5.24998,3.9282,11.4122,7.67904,8.69039,10.9404,15.8835,11.9004,9.61494,12.7525,8.74434,10.8396,14.8533,14.7015,8.5043,8.27033,8.2701,4.96152,21.4985,5.89974,6.68766,23.971,25.6356,4.13256,20.1781,12.623,12.1435,12.9163,13.7887,21.3485,11.1363,15.5602,20.5758,13.642,9.46902,5.16997
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000159363.17,ATP13A2,22.4084,22.5618,23.4478,20.8131,23.3971,14.591,22.5224,43.3485,72.2755,45.7372,104.754,116.442,117.543,107.625,48.1987,82.5064,59.6615,38.0735,30.3729,49.0852,23.979,24.2463,20.9701,21.2804,23.8024,18.0217,20.126,16.9597,28.0794,17.5875,21.993,7.02213,5.49668,15.6809,16.3174,3.9614,34.346,35.6194,11.0398,37.9711,18.8575,31.0437,102.745,27.7247,24.7729,26.9503,23.961,44.082,20.8417,23.5494,34.7651,25.8242,20.4393,11.515
ENSG00000117298.14,ECE1,140.533,101.548,139.869,93.8829,122.639,161.275,101.672,12.9912,14.3297,15.8959,5.51548,8.17686,20.5873,16.5238,12.2269,14.8333,13.8543,15.769,12.184,14.7618,126.557,124.976,10.7316,127.704,131.59,113.991,69.6004,70.5415,28.7905,65.7592,97.59,57.3971,26.8066,26.2507,36.8158,30.7815,128.014,48.0988,11.9823,129.837,130.065,49.2089,80.3134,94.9635,46.9881,50.4942,63.276,74.4323,44.7586,41.4507,102.037,94.1285,77.7013,62.9175
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
