Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000187608.8,ISG15,36.5999,35.0093,13.4514,50.7601,43.7416,50.3755,32.9846,43.6096,25.5352,27.3676,8.32202,8.13104,25.6187,31.2238,28.4382,40.8179,22.5282,31.5576,29.7992,29.0058,29.1718,40.3973,611.473,46.4805,38.8129,43.8214,28.5002,34.3499,10.9231,34.3922,23.5057,17.7164,13.6514,21.6433,44.3451,28.9351,66.8682,11.6526,6.40806,38.9186,16.3063,5.40955,29.5311,30.6468,10.4279,11.5368,32.8365,57.4424,17.269,11.6118,34.2481,36.2831,27.0392,28.8048
ENSG00000186827.10,TNFRSF4,9.23756,15.2584,0.776524,2.56503,2.92234,1.80012,3.82554,0.627776,0.696072,0.433878,1.07042,1.25676,1.51674,1.31074,1.00611,0.59837,0.448421,0.465603,0.672487,0.536857,9.47877,0.11721,11.0029,3.40601,4.07947,2.02461,4.55059,2.15913,1.34158,1.91164,3.20498,2.54039,3.18482,2.10538,4.30445,0.607381,13.8513,2.68277,1.63613,2.41166,1.9558,0.745113,3.07547,6.22104,1.87947,1.92813,7.26452,23.2338,2.75109,0.96684,9.95206,3.07209,2.28543,5.45951
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000171608.15,PIK3CD,9.18189,11.4743,3.61195,10.509,9.78622,9.4233,10.9406,4.143,5.56862,3.03983,6.54845,7.29307,8.15273,7.30733,4.80408,4.57435,2.72936,2.79804,4.58794,4.58069,7.34,8.24163,111.7,10.599,14.0773,9.4146,7.14466,9.29016,6.87042,9.64654,12.1961,2.7405,1.61935,5.77365,8.87587,2.14619,23.9939,6.20279,0.824632,10.4476,14.4936,1.75359,5.16874,8.70344,4.39521,4.88559,15.7367,83.9412,5.03416,9.40802,11.1744,12.3626,10.2526,96.7038
ENSG00000009724.16,MASP2,4.14575,2.20857,2.06929,3.80396,3.91167,4.78492,4.32441,0.914841,1.21627,1.44914,18,17.5235,2.06578,1.98474,1.1783,1.3367,1.70289,0.895447,1.68687,1.02404,4.19044,2.43727,3.26945,5.52043,6.96012,5.22006,4.12927,5.02035,1.92493,4.36214,6.30118,1.10875,0.932707,0.99466,1.50393,119.574,3.67716,4.20279,2.00528,9.59838,6.38645,2.09283,5.09142,3.74496,6.35436,6.83457,5.56142,4.0477,3.2357,3.93172,4.59085,7.73446,3.587,0.369035
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
ENSG00000162552.14,WNT4,0.315391,0.713677,6.13065,0.173657,0.224865,0.134541,3.19613,0.634625,0.747517,0.416635,0.158905,0.25678,0.874476,0.74689,0.928014,2.90792,0.425995,0.386684,0.651314,0.393638,1.15804,0.0643463,0.335541,1.8347,8.10207,0.364536,2.22105,0.314063,12.8538,0.383928,10.3735,0.0847114,0.0500068,0.527844,0.852868,0.401334,0.867013,2.4275,0.560414,0.433473,22.4515,1.16316,6.6191,7.51014,29.2834,22.799,3.27569,0.491498,3.27903,1.17215,1.51139,4.0802,7.42263,0.228349
ENSG00000117308.14,GALE,6.22641,6.99581,9.72879,5.37639,5.46065,3.78707,10.6968,4.19065,6.00194,6.10712,12.4158,12.6243,9.72054,9.53294,3.64716,5.33083,5.85347,5.09103,5.54918,3.86108,8.63562,11.7534,19.5738,10.6054,9.88196,4.80188,23.4355,4.49672,39.8322,4.64165,9.83473,2.6188,1.93531,17.2941,20.7772,21.8554,17.5386,40.9137,1.44821,7.37684,6.72797,4.5018,10.8182,13.5393,7.19238,7.24263,19.007,18.3281,37.8777,10.919,7.18849,8.35296,22.1451,2.99271
ENSG00000179163.11,FUCA1,33.3941,32.4421,44.0306,58.6832,45.4272,34.9232,24.5451,6.38735,7.02816,7.73909,12.881,10.872,8.06955,10.0367,6.50843,11.1105,8.16543,6.64082,14.3648,7.41113,28.5932,4.86574,45.9807,29.1423,42.2827,25.9251,65.5119,25.4889,16.6126,22.6443,37.6252,11.7681,6.96344,30.5704,50.489,24.37,41.2577,65.1916,8.59185,27.2825,39.7876,13.5375,34.7969,39.4006,17.953,20.0293,74.3925,60.1725,33.0153,42.1617,78.0754,36.002,25.5065,11.2631
ENSG00000158014.14,SLC30A2,0.0688297,0.105123,0.883447,0.0380925,0.0449463,0.0288227,0.614697,0.0343152,0.0674499,0.0171583,0.0380661,0.0461838,0.101493,0.0857752,0.0463673,0.0234591,0.0236396,0.0209486,0.0280792,0.0258856,0.132362,0.0077599,0.0119389,0.0950983,0.074777,0.0464157,0.0673152,0.102592,0.0360822,0.0789655,0.254261,0.352418,2.41879,13.0766,4.18121,0.0369625,0.0932499,0.348471,1.13376,0.361806,0.0394526,45.3609,0.064345,0.245103,0.823633,0.994212,0.205981,0.0326369,0.112899,0.426127,13.6966,0.136491,0.0597797,0.0114013
ENSG00000117713.18,ARID1A,26.055,21.5751,21.1199,28.4989,25.9576,31.4493,32.2639,9.2186,10.4751,10.6469,29.3386,32.4549,13.8086,12.1999,8.37521,10.0248,11.9133,8.42075,12.1404,8.96392,25.8875,25.0202,51.5399,28.8339,31.9771,27.2731,22.2391,23.9265,28.5406,23.282,33.739,10.9302,9.33664,9.38636,14.9593,10.0425,31.0712,26.1924,13.786,39.7431,36.4904,10.1827,24.0102,25.9706,29.1538,30.1194,26.9634,37.3643,21.8782,34.5622,42.7936,38.9495,31.1372,11.1588
ENSG00000142748.12,FCN3,14.9602,47.8389,37.7868,3.20691,8.2806,1.65685,2.02895,0.452381,0.498496,0.536295,0.41926,0.476665,0.535729,0.570316,0.580046,0.642946,0.437918,0.457537,0.589344,0.599687,22.1218,0.115599,0.124559,1.52255,3.6315,2.38847,3.12794,4.40142,3.09229,5.70949,2.86389,14.5643,23.8829,32.1472,5.32862,65.8482,1136.08,2.71557,3.06519,2.21392,1.93291,6.32999,2.98854,4.72081,1.88885,1.95201,5.12381,15.5046,6.68268,3.36362,23.9588,3.47366,2.95754,0.361964
ENSG00000182866.16,LCK,2.29932,3.88192,0.805537,1.71829,2.09063,0.468378,2.95017,0.149335,0.100723,0.142179,0.0888232,0.117695,0.121718,0.0992277,0.233016,0.307918,0.114927,0.157715,0.989075,0.291305,1.87148,0.0157876,101.947,2.84031,3.79968,0.788036,4.30942,0.770338,2.60015,0.988188,3.88262,0.654056,0.260813,1.4154,3.47033,1.60667,13.784,2.28268,0.201514,1.50808,0.672495,0.402248,0.970812,3.76066,1.50599,1.07483,20.1481,52.6967,3.06828,1.05664,4.31433,2.15773,3.55754,47.7135
ENSG00000004455.16,AK2,45.9983,44.0513,37.576,36.7216,41.3194,36.3073,41.2197,13.1179,11.5303,13.7937,35.1854,35.1588,12.6702,13.3003,13.1387,16.6064,12.8917,12.834,30.4982,18.8189,50.8832,72.7295,137.468,49.4539,52.2971,37.5349,43.2233,34.6208,48.2599,33.7864,51.1445,23.6238,18.0554,47.3275,55.7275,37.7737,44.7906,39.5911,30.225,56.6179,46.8256,15.5624,34.6375,42.6987,42.0079,42.2423,48.081,39.3838,33.5949,36.6694,70.7348,51.7796,48.3495,18.5503
