Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000171680.21,PLEKHG5,18.3114,16.894,13.9746,15.9236,12.4941,4.55963,11.2921,8.87054,18.2638,7.85112,198.329,244.848,35.408,27.3265,15.5113,7.1427,13.0507,4.46079,3.66836,3.19904,18.635,3.55456,0.547631,23.6223,25.9906,10.4711,10.9997,11.8972,31.4708,11.513,17.9666,7.45859,7.96684,5.3447,6.08628,1.20543,11.4132,13.1987,2.1389,51.3166,13.9599,2.17119,78.615,16.9854,118.486,101.404,11.4222,78.7915,5.18279,11.6958,14.8433,17.0544,26.4216,0.309659
ENSG00000171735.18,CAMTA1,5.95195,5.31641,5.24022,12.7986,11.5444,13.8103,7.92147,10.3231,15.1402,14.6767,52.8215,35.199,17.9756,29.2645,10.4312,17.6396,14.0672,13.0961,12.6036,10.1475,6.57305,5.86728,5.70101,7.00506,6.60015,10.3896,6.39142,9.8555,3.92187,10.1794,7.71239,6.22438,4.70292,5.78018,7.44734,2.84413,8.19472,5.53691,4.57154,9.07807,6.37487,1.74727,12.0206,7.96752,4.75011,4.76834,4.24045,8.88229,4.52391,10.9858,8.1502,8.11522,6.15732,1.16292
ENSG00000171608.15,PIK3CD,9.18189,11.4743,3.61195,10.509,9.78622,9.4233,10.9406,4.143,5.56862,3.03983,6.54845,7.29307,8.15273,7.30733,4.80408,4.57435,2.72936,2.79804,4.58794,4.58069,7.34,8.24163,111.7,10.599,14.0773,9.4146,7.14466,9.29016,6.87042,9.64654,12.1961,2.7405,1.61935,5.77365,8.87587,2.14619,23.9939,6.20279,0.824632,10.4476,14.4936,1.75359,5.16874,8.70344,4.39521,4.88559,15.7367,83.9412,5.03416,9.40802,11.1744,12.3626,10.2526,96.7038
ENSG00000177000.10,MTHFR,12.1655,12,9.64992,11.8061,13.0307,13.1043,11.1002,4.17946,5.5384,5.05707,14.5074,15.5623,8.11394,7.05904,4.59052,5.68627,5.28859,4.04465,5.24998,3.9282,11.4122,7.67904,8.69039,10.9404,15.8835,11.9004,9.61494,12.7525,8.74434,10.8396,14.8533,14.7015,8.5043,8.27033,8.2701,4.96152,21.4985,5.89974,6.68766,23.971,25.6356,4.13256,20.1781,12.623,12.1435,12.9163,13.7887,21.3485,11.1363,15.5602,20.5758,13.642,9.46902,5.16997
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000184908.17,CLCNKB,0.1668,0.528623,1.56723,0.608719,0.335099,0.375405,0.149561,0.143001,0.212807,0.0586032,8.38997,10.1559,0.168321,0.116304,0.0702783,0.332032,0.063087,0.0513087,0.281797,0.128857,0.28866,0.0342184,0.00901605,1.05061,0.866409,0.449152,0.298009,0.575763,0.0695216,0.397724,0.690992,2.29799,0.916493,137.293,165.379,0.0206374,0.436415,10.6206,0.0432734,1.25897,1.5519,0.438303,3.28639,0.807271,0.137554,0.165177,0.109448,0.0946243,0.507691,4.69082,22.7818,1.3855,0.515969,0
ENSG00000159423.16,ALDH4A1,30.9579,25.9171,20.4293,17.6147,22.6468,24.2557,20.9001,51.1524,56.3962,56.6534,13.9368,17.3035,61.3765,57.2807,29.5025,27.7762,45.1466,58.397,11.3665,51.1266,22.8336,12.121,10.6606,13.6566,15.7103,11.7154,8.05921,18.9936,49.5789,21.2099,17.6345,16.6624,16.4853,150.575,50.4136,268.216,12.2394,10.4698,41.3836,22.5197,14.2574,2.81042,17.758,39.029,23.5563,20.3373,6.69366,11.7016,14.7317,6.93626,15.2702,19.2952,30.8258,3.40818
ENSG00000244038.9,DDOST,120.197,126.788,150.213,193.582,163.379,128.639,134.335,29.0977,36.0228,40.1341,63.1468,58.9497,43.7856,50.4348,29.1999,39.5847,44.0623,33.1057,42.8709,30.1094,134.656,426.253,248.275,169.078,192.233,97.7383,118.65,99.6331,128.796,94.5602,179.221,86.5438,61.2508,69.2529,77.044,62.4454,166.079,139.536,46.6044,137.347,225.559,131.543,171.893,122.741,109.719,118.872,125.177,223.195,129.639,174.937,195.446,187.729,143.888,68.8467
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
