Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000176022.4,B3GALT6,14.8647,14.8365,12.7458,14.743,16.7567,12.6481,14.8299,10.9376,14.3451,10.0577,13.702,13.0824,15.6484,18.1414,12.5009,14.3328,11.3118,9.18509,10.8194,8.18991,15.9684,29.9052,11.9547,15.7761,20.0345,12.3868,9.85327,11.7923,10.9452,11.6618,18.5873,7.7483,6.40932,7.68876,13.4718,8.79121,15.0709,10.4592,7.08472,18.4557,15.9016,8.31665,18.5498,16.291,15.6651,15.244,11.2732,18.9761,10.7456,13.4474,18.0893,23.0967,13.375,4.41826
ENSG00000205090.8,TMEM240,3.29426,3.08961,2.39958,7.55524,6.07757,5.96808,8.29213,11.6485,18.3887,19.233,59.7245,57.8529,26.7017,28.4286,13.8266,12.2355,22.8807,14.8425,5.70846,7.00453,3.33129,4.38393,0.164737,16.5964,12.7306,14.2111,4.76666,12.2907,1.81555,11.1648,9.3938,2.93476,2.16574,1.2319,1.80784,0.447633,3.82775,1.84031,1.19392,6.88603,15.6377,0.419042,14.1797,8.33383,1.9606,2.11526,2.46952,3.22422,1.7131,3.29713,5.6692,17.7394,7.3674,0.429757
ENSG00000187730.8,GABRD,0.462753,0.408157,1.03713,0.449011,0.563388,0.308238,0.239943,20.273,46.398,41.3694,538.42,516.964,95.2762,104.872,10.6341,3.04091,54.4156,30.5902,1.8261,4.04068,0.718814,0.0239123,0.0355514,0.363622,0.26384,0.229995,0.242415,0.32885,0.435623,0.287094,0.320242,0.343545,0.26992,0.291857,0.363888,0.0988729,1.20821,0.407761,0.165086,0.321461,0.204064,0.073932,3.35163,0.315463,0.671883,0.593263,0.262771,0.30487,0.172554,8.8514,1.55472,0.431775,0.356172,0.0543746
ENSG00000157933.9,SKI,73.3703,62.204,20.7518,150.885,104.454,154.427,65.3253,20.9081,26.4677,25.2683,235.379,233.049,32.2497,31.0717,21.9211,19.0452,29.2664,19.5494,26.3382,15.8805,62.8839,58.6372,11.7641,90.2708,99.0395,67.3979,36.8175,80.4155,36.0297,78.0817,80.4267,32.6926,15.2111,13.6933,32.0796,15.6877,73.6276,42.9167,16.9895,86.7798,79.962,9.34967,43.6429,55.1404,60.1223,71.349,42.1601,42.9771,24.1811,33.2034,60.5281,107.148,61.8789,11.8519
ENSG00000131697.17,NPHP4,7.91019,8.19833,4.73534,5.87667,6.5902,5.83558,6.51237,3.45856,4.90492,5.40978,8.06158,10.0074,8.18542,6.15298,4.44664,4.4237,6.84004,4.17297,3.47974,3.09932,8.56639,7.80954,6.44369,9.15004,10.7289,6.00858,4.70351,5.84507,4.37544,5.56756,6.70611,2.79748,1.59892,3.75027,4.90315,1.53755,9.98693,5.12152,1.74277,13.692,10.4295,2.79323,22.2512,7.007,11.9718,11.3199,5.25085,6.01049,3.74882,20.9908,21.5424,10.0467,7.71905,1.77939
ENSG00000171680.21,PLEKHG5,18.3114,16.894,13.9746,15.9236,12.4941,4.55963,11.2921,8.87054,18.2638,7.85112,198.329,244.848,35.408,27.3265,15.5113,7.1427,13.0507,4.46079,3.66836,3.19904,18.635,3.55456,0.547631,23.6223,25.9906,10.4711,10.9997,11.8972,31.4708,11.513,17.9666,7.45859,7.96684,5.3447,6.08628,1.20543,11.4132,13.1987,2.1389,51.3166,13.9599,2.17119,78.615,16.9854,118.486,101.404,11.4222,78.7915,5.18279,11.6958,14.8433,17.0544,26.4216,0.309659
ENSG00000171735.18,CAMTA1,5.95195,5.31641,5.24022,12.7986,11.5444,13.8103,7.92147,10.3231,15.1402,14.6767,52.8215,35.199,17.9756,29.2645,10.4312,17.6396,14.0672,13.0961,12.6036,10.1475,6.57305,5.86728,5.70101,7.00506,6.60015,10.3896,6.39142,9.8555,3.92187,10.1794,7.71239,6.22438,4.70292,5.78018,7.44734,2.84413,8.19472,5.53691,4.57154,9.07807,6.37487,1.74727,12.0206,7.96752,4.75011,4.76834,4.24045,8.88229,4.52391,10.9858,8.1502,8.11522,6.15732,1.16292
ENSG00000116288.12,PARK7,185.512,185.634,245.936,273.087,253.218,241.283,185.357,159.937,186.83,172.193,277.671,234.467,181.328,224.484,141.616,182.992,192.82,143.05,196.155,167.046,188.602,302.889,303.716,220.679,215.96,204.49,137.383,204.716,106.865,207.328,218.861,139.999,130.097,128.403,163.495,110.767,164.313,130.84,214.327,258.043,228.208,78.3723,250.513,211.129,93.6087,96.2719,121.727,144.996,128.713,150.152,237.637,207.219,153.047,61.4826
ENSG00000173614.13,NMNAT1,4.45384,4.24459,6.26316,4.42206,4.46107,3.71273,5.4113,2.33672,2.72182,2.86631,2.09453,2.21337,2.91512,3.14415,2.34168,2.84477,2.83485,2.43937,3.55303,2.76506,4.30838,10.711,5.93614,5.36647,5.46295,5.29332,6.61775,5.15487,4.97723,5.82949,4.40399,5.08865,5.02906,4.23297,6.09978,3.09551,4.15254,4.60595,6.98974,5.09589,3.79132,1.97809,4.54592,4.95291,3.79692,4.00128,5.89532,4.90784,3.44648,5.8511,7.54287,5.19627,4.84753,2.32129
ENSG00000054523.17,KIF1B,12.8321,9.63183,13.0898,14.8905,11.7513,15.4498,11.7394,40.8561,49.153,36.8442,105.813,84.5604,53.1394,56.3277,34.445,37.5828,46.1356,31.2909,45.8537,34.2226,10.7572,14.3649,3.93289,13.8047,12.7182,17.8129,10.707,16.0233,14.0821,17.559,15.0049,9.42496,8.35805,5.2816,6.83104,5.08369,13.8033,12.0943,61.0959,23.2667,16.585,5.9987,15.2272,11.0032,13.1428,15.0954,9.39303,7.73412,6.27459,20.7583,13.4108,20.0786,14.5396,6.37837
