Gene ID	Ensembl ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
AGRN	ENSG00000188157.14	18.5388	21.4757	4.78231	25.2991	25.7741	22.7406	20.0026	18.8474	22.6439	19.735	4.96187	8.11908	44.821	32.5388	15.7125	14.7556	14.7736	18.4247	16.2268	14.3809	30.3693	31.5855	57.0294	34.2921	47.9045	20.6549	19.7968	22.8457	28.3097	19.56	30.2824	9.23281	6.77292	50.3123	74.2338	13.1002	52.31	45.3965	2.40304	23.8917	12.5977	23.5454	17.2636	35.7104	34.2767	31.4487	18.2284	12.4173	21.0876	31.6947	97.4061	28.1304	28.6363	0.575363
PER3	ENSG00000049246.14	16.6989	8.269	9.09568	13.5758	12.7993	23.1697	19.8332	10.3089	12.0474	12.4785	83.6984	71.6122	12.8121	13.918	9.54039	11.1165	12.538	10.6352	22.8032	10.4966	13.219	2.02898	2.39752	34.179	28.3777	31.81	9.85919	28.9101	10.4765	27.5604	24.5335	6.88407	3.41756	4.97741	9.31964	8.46187	11.8144	10.155	7.18197	30.9228	24.3435	4.71146	30.4269	16.7734	16.3906	21.2259	6.82115	5.40179	9.88562	14.5478	17.8867	24.1483	18.9425	0.340559
GPX7	ENSG00000116157.5	9.72555	9.3313	8.43357	14.3269	13.5734	11.4212	11.8273	2.5588	2.65544	2.9254	3.79115	4.05156	2.68747	2.72337	2.28141	3.47687	3.25437	2.50301	4.16972	3.04567	10.4946	28.9251	5.97986	19.5877	20.1043	12.122	6.31814	9.7822	3.1537	9.37556	13.1321	6.07616	3.30378	4.60435	6.62042	1.41878	9.15229	6.60611	3.58111	12.1472	13.4702	5.4784	18.1929	12.0682	4.98281	5.57973	8.26493	10.4291	3.83501	9.57657	21.296	15.6797	9.81757	3.94478
LEPR	ENSG00000116678.19	8.06684	10.0276	1.47846	6.66786	9.56733	8.44763	4.80164	1.21192	1.10115	1.61149	1.67288	1.61094	1.17236	1.31038	1.48966	2.23254	1.45961	1.40386	2.81905	1.87018	12.9405	6.95875	0.594092	9.54853	11.749	3.85325	2.15244	4.90283	2.84091	4.51115	8.41892	2.3379	0.660137	1.38407	2.98802	11.4446	13.1497	7.39274	0.579761	24.9201	16.0897	0.562266	3.88723	4.90402	4.83046	3.17524	2.70417	0.980285	6.65506	1.44901	8.77986	11.8587	4.12381	0.216932
SORT1	ENSG00000134243.11	56.2078	33.4961	12.8984	165.925	172.111	183.258	32.2927	34.8657	43.0547	47.0217	16.9509	21.079	61.012	76.4705	71.4386	35.798	35.712	45.3289	180.676	56.2295	35.1646	22.1041	1.92125	28.138	23.2164	32.8585	30.1225	52.7018	42.6976	63.4192	28.7067	32.3254	23.287	19.6548	22.677	2.35637	65.3976	34.7982	57.1814	74.6337	5.73619	8.20031	18.4768	22.8459	22.9017	29.9399	30.5627	15.1697	18.776	64.5038	50.1758	35.0192	30.7406	18.5673
PHGDH	ENSG00000092621.11	9.54548	20.2773	1.16452	32.1733	21.0127	39.9595	24.986	41.2066	34.1572	45.2907	13.4833	20.0356	36.0898	29.7181	28.8107	30.7207	40.2058	36.8231	50.2586	39.4562	14.7377	83.0848	20.9223	34.0586	23.2494	16.1871	9.42724	12.9879	27.2401	13.3536	35.1658	6.40065	1.53277	11.0479	17.6418	24.9796	9.93067	47.9216	0.519539	24.1125	32.067	18.5313	15.4013	33.5075	50.0478	45.1118	6.34713	3.11046	15.521	45.5768	17.0826	18.9053	37.1429	0.702985
TXNIP	ENSG00000265972.5	2556.63	1527.38	612.559	490.483	760.342	785.029	1260.47	51.9834	38.9273	55.7349	63.5073	72.8637	54.4095	43.9098	61.3847	60.6676	40.2231	51.0037	152.245	80.238	2371.96	44.0662	94.176	1665.7	2022.51	1495.95	950.759	1876.88	376.917	1929.25	1552.26	380.603	383.845	425.45	588.959	77.1268	1419.1	813.822	864.505	1892.07	683.695	247.881	307.35	617.356	1382.95	1559.12	1200.85	1525.39	663.254	172.427	1008.6	1608.63	1136.4	1012.64
LMNA	ENSG00000160789.19	199.229	169.505	107.94	300.598	212.842	242.363	145.394	10.0509	8.29817	11.334	21.0495	23.4216	11.031	9.62297	11.8861	15.4544	8.65058	11.4078	24.7087	16.0773	183.684	392.66	87.4466	225.7	167.702	126.944	110.737	155.837	164.092	132.883	169.053	77.9224	50.4412	45.7923	64.592	27.0291	158.442	119.651	60.2232	224.141	166.537	24.8855	57.6316	105.189	297.706	272.557	85.1078	61.9517	77.2485	58.3796	140.381	255.829	192.208	6.02904
TGFB2	ENSG00000092969.11	2.39727	2.56023	0.850419	7.73681	7.61917	7.40034	4.3845	4.43787	5.47199	5.10943	1.28582	2.54144	6.11129	6.50087	3.2754	2.44567	4.19539	3.44847	2.18488	1.93827	4.39012	1.91383	0.08255	14.9228	12.2566	4.97812	1.60439	2.77079	0.770265	3.17813	5.84434	1.91116	0.735503	0.724132	1.68272	0.198487	7.72096	15.0134	2.18104	5.22052	7.42376	1.06842	2.36266	10.2184	2.02955	2.6518	0.723206	1.25751	1.58176	1.88113	4.29659	6.18963	7.11927	0.0177084
TOMM20	ENSG00000173726.10	110.62	97.8164	92.235	134.343	119.349	170.358	114.921	81.0459	111.568	103.525	161.96	111.639	123.901	191.933	85.2235	114.609	129.156	84.9099	160.785	80.3154	114.024	171.02	145.055	137.48	138.074	99.2338	75.0376	89.4142	85.5809	82.5456	148.251	56.132	42.5642	56.9839	75.3206	31.506	100.442	106.91	60.9522	136.75	166.182	61.8586	105.536	95.3365	131.115	128.343	70.4969	60.9357	85.8313	59.3012	133.902	138.721	115.2	15.2851
