Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000083444.16,PLOD1,66.6171,71.5513,43.752,108.387,89.6474,59.4064,63.6802,17.1064,18.1469,23.2427,17.3569,19.8047,20.9128,21.8246,18.4243,27.5268,19.7322,23.2497,21.854,23.7266,62.7695,314.94,49.4467,90.27,107.068,73.0905,41.6559,73.8885,26.4767,73.2917,86.7584,44.8868,34.6605,38.4906,26.9165,48.2449,75.5228,50.5391,24.0542,85.056,92.3411,22.7851,49.1386,59.7253,37.7223,38.6177,35.5502,46.7481,33.6907,21.5948,65.7826,113.159,59.952,39.0073
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
ENSG00000117400.16,MPL,0.497686,0.263,0.119206,0.275235,0.289176,0.358385,0.336677,0.174319,0.194348,0.188154,0.114489,0.132256,0.46165,0.340789,0.151407,0.155904,0.190185,0.160335,0.321868,0.223188,0.389786,0.0229178,0.0381268,0.237462,0.427591,0.290715,0.173412,0.359216,0.162065,0.322863,0.349282,0.206185,0.156147,0.104454,0.143345,0.0398599,0.648046,0.163195,0.07284,0.610485,0.735112,0.114081,0.285176,0.266483,0.20333,0.218216,0.140475,0.252172,0.146152,1.47414,0.481481,0.482091,0.222793,0.170651
ENSG00000157184.6,CPT2,9.31884,7.79499,19.7813,6.21717,8.3961,7.22357,11.9593,4.15323,4.11806,5.03666,5.51565,5.96248,5.09036,4.58433,3.34489,4.602,4.67188,4.44005,5.99247,4.71107,9.55453,11.8929,23.2496,7.19398,9.73413,8.02217,16.7508,8.31782,14.452,8.98297,11.2108,5.75614,9.85017,10.6097,12.5473,26.3525,9.43023,11.3306,10.7205,10.2754,9.34746,6.58305,15.5998,10.3196,9.22538,9.93832,13.413,10.114,13.1927,19.2134,11.3683,9.075,9.11054,2.70019
ENSG00000162399.6,BSND,0,0.0104661,0.0171724,0.0201785,0,0,0,0.0277556,0.0326606,0.0673261,1.21093,1.16967,0.0624337,0.0475437,0.0536615,0.0224345,0.115028,0.0378796,0.0112446,0,0.0216617,0,0.00849357,0,0,0,0,0,0.0143073,0,0.0887906,0,0,8.48823,12.4703,0,0.0471613,0.961425,0,0.0365845,0,0.00679929,0.847478,0.0570893,0.0406173,0.0412514,0.0130579,0.179714,0,0.593251,0,0,0,0.0366586
ENSG00000116704.7,SLC35D1,8.38524,7.51266,9.38357,16.5583,11.9932,11.0123,11.433,2.54565,2.93711,4.01478,8.86078,8.56581,3.49321,3.43476,2.88314,4.06343,4.74483,3.06646,4.43035,2.96477,7.13002,23.7914,12.7261,17.5527,15.7924,10.1872,17.7682,9.3347,8.48785,8.61785,13.3078,3.60615,2.46632,4.39512,4.87545,27.1807,8.05789,6.46762,6.04196,10.2176,14.5141,5.54974,10.0328,11.1009,10.9109,10.7524,16.175,7.31117,11.6321,12.0584,12.0067,14.319,15.0453,1.78462
ENSG00000060718.20,COL11A1,0.308716,0.127171,0.701146,0.177911,0.251927,0.557109,0.154888,4.99107,4.70414,3.88552,1.06792,1.36566,6.1156,5.46889,3.43624,6.93936,5.46912,2.40775,2.2026,4.69724,0.274439,19.9835,0.0148358,0.473721,0.48167,0.795635,0.288731,0.116023,0.0116182,0.1307,0.0816675,0.0198971,0.00743743,0.082836,0.0399151,0.009291,0.124852,0.491537,0.046638,8.5373,0.790415,0.104928,6.14075,0.16363,0.64557,0.56298,0.184691,0.746541,0.0461403,9.02344,0.217069,0.303285,0.157488,0
ENSG00000143368.9,SF3B4,57.6898,45.6576,49.9699,82.0863,65.7259,87.157,70.47,15.9996,17.1648,18.7205,43.3361,43.0563,24.0181,22.7876,15.8777,19.5697,19.6144,16.1575,22.7095,15.635,57.7894,86.7353,86.2531,65.7596,82.7436,63.2813,77.2851,62.4358,63.1441,60.1388,88.0349,18.1546,14.25,26.937,37.4472,16.3989,59.0337,46.1822,16.5734,60.638,77.676,18.83,47.3346,52.563,67.6312,72.1629,62.8983,60.8869,38.4891,104.567,62.8971,91.1168,61.9799,46.1934
ENSG00000177628.15,GBA,16.7221,15.5465,26.1394,26.6381,22.6014,18.5048,15.3328,6.49428,8.58188,9.87815,9.88811,9.5836,10.6011,13.1018,6.90354,10.5743,10.6235,7.9459,13.7758,8.78682,17.5372,43.9292,13.2542,21.4839,18.4189,12.2035,15.6911,12.6054,16.7455,11.9222,15.0281,7.32379,3.66884,11.2311,11.7772,5.42144,22.3445,17.0342,2.87054,23.5247,14.8505,7.8936,38.0291,14.0967,17.0869,21.5317,15.3777,19.8549,12.4636,9.22501,26.7393,18.7768,18.5345,33.131
ENSG00000143627.17,PKLR,0.04965,0.0451792,0.0306738,0.0389118,0.0400726,0.0416926,0.0208726,0.0673847,0.319189,0.101997,2.7339,2.22896,0.360124,0.47104,0.0394279,0.631478,0.139359,0.0504287,0.0612949,0.0691381,0.0440671,0.0464157,0.0251345,0.0289543,0.00772159,0.0691212,0.312428,0.0319453,0.0556535,0.0343129,0.0232303,0.0150844,0.0102087,8.20922,1.64936,34.3493,0.0691923,0.0363542,0.0120631,0.291287,0.0400994,0.0123682,0.0430511,0.0604659,0.664421,0.447742,3.34328,0.087505,0.028738,2.19145,0.0576417,0.0515798,0.054012,0.167276
ENSG00000143622.10,RIT1,20.5664,20.2789,13.2409,24.7387,23.4887,20.2649,24.883,6.04561,6.07314,7.59846,10.6026,9.81599,6.10888,6.87698,5.69394,8.7618,7.10053,6.26423,10.0811,8.42465,19.3712,16.0766,30.1791,22.9251,22.3033,17.7787,13.3755,16.7093,32.0636,16.6116,18.7329,8.22186,5.72554,13.2009,15.749,4.36051,32.2073,14.5497,4.35298,21.8701,16.6295,4.36695,15.6991,18.6392,16.078,15.7381,15.4812,27.5985,16.6822,15.7113,18.4333,20.6606,28.7699,27.7895
ENSG00000160789.19,LMNA,199.229,169.505,107.94,300.598,212.842,242.363,145.394,10.0509,8.29817,11.334,21.0495,23.4216,11.031,9.62297,11.8861,15.4544,8.65058,11.4078,24.7087,16.0773,183.684,392.66,87.4466,225.7,167.702,126.944,110.737,155.837,164.092,132.883,169.053,77.9224,50.4412,45.7923,64.592,27.0291,158.442,119.651,60.2232,224.141,166.537,24.8855,57.6316,105.189,297.706,272.557,85.1078,61.9517,77.2485,58.3796,140.381,255.829,192.208,6.02904
ENSG00000162735.18,PEX19,67.361,60.0137,43.5935,50.7882,47.3973,55.2499,52.4949,26.3307,33.9502,27.8215,29.6665,30.7414,37.1047,40.7476,23.1865,31.8502,32.9544,23.2546,36.3093,26.0606,57.5517,49.2485,38.591,50.4902,52.1467,44.868,29.2311,47.2811,27.563,45.5696,50.8679,29.182,23.4512,27.0819,27.971,30.732,36.4383,27.7757,33.894,49.3507,56.4438,9.1921,38.253,43.1954,32.6421,32.6716,26.7247,28.5436,25.6954,31.776,51.7525,50.0325,37.0229,13.489
ENSG00000143183.16,TMCO1,23.9519,23.3619,33.6906,30.448,27.2339,25.7258,21.9578,12.8336,12.647,14.5789,15.5913,13.8717,11.5189,14.7527,10.3925,15.5407,13.4285,12.0935,20.5113,13.5111,25.4437,43.309,29.7146,28.4339,31.0605,20.054,23.4592,19.9288,24.8792,19.302,27.7972,11.6393,7.9319,16.2714,22.2597,17.9316,24.8051,26.2533,8.15198,26.5129,27.595,10.9025,31.4435,24.7265,18.0909,18.9833,25.3789,18.8271,20.0051,35.0729,34.9337,28.7586,26.6148,5.18657
ENSG00000198734.10,F5,0.995596,1.13034,0.0432921,0.629118,1.37286,1.93074,1.01213,0.075544,0.157752,0.181842,0.159466,0.204129,0.205986,0.204759,0.200053,0.211901,0.163888,0.144763,0.340653,0.262324,0.52402,0.0123414,0.084983,0.205212,0.158586,0.21612,0.216106,0.192696,0.125777,0.145085,0.921253,1.88397,1.17756,1.39363,0.39561,34.1776,2.09857,8.42925,0.07508,0.275304,0.0705928,0.439525,3.85667,0.799334,1.09529,2.0545,0.404887,3.67619,0.345248,1.63877,0.863234,0.203538,0.174557,19.2142
ENSG00000116132.11,PRRX1,93.0699,21.2571,3.77277,41.434,37.4568,91.9417,6.5277,3.92135,4.46532,4.72131,2.28228,2.91719,3.76639,3.8356,3.47149,4.10546,3.91052,3.48613,2.9795,5.46666,38.2061,96.0167,0.510532,104.432,88.53,4.14986,1.95179,10.8276,4.13225,9.04088,47.9282,11.5042,5.9537,0.482657,1.643,0.110918,20.8217,29.1275,20.961,33.7543,22.9646,0.814666,1.41171,26.174,11.3319,19.9022,2.67134,0.804319,0.966695,10.3005,46.8078,61.0813,59.6679,0.0456178
ENSG00000066279.17,ASPM,0.162647,0.170969,0.169792,0.164262,0.182801,0.0783758,0.102772,0.0364941,0.0887077,0.0446035,0.0210205,0.0276948,0.134437,0.145718,0.0399311,0.0478339,0.040822,0.0289769,0.263424,0.0384265,0.10637,11.2835,25.0474,0.0677754,0.128319,0.070965,0.819641,0.0558445,3.78145,0.0557778,0.0396509,0.068079,0.0525363,0.0478972,0.0415975,0.126679,0.509464,0.282951,0.0401708,0.154654,0.160625,0.0397316,0.0502737,0.121724,1.48546,1.52424,1.26585,1.35974,0.193203,5.41024,0.110799,0.0625282,1.03636,0.121112
