Ensembl ID,Gene ID,Adipose Subcutaneous,Adipose Visceral (Omentum),Adrenal Gland,Artery Aorta,Artery Coronary,Artery Tibial,Bladder,Brain Amygdala,Brain Anterior cingulate cortex (BA24),Brain Caudate (basal ganglia),Brain Cerebellar Hemisphere,Brain Cerebellum,Brain Cortex,Brain Frontal Cortex (BA9),Brain Hippocampus,Brain Hypothalamus,Brain Nucleus accumbens (basal ganglia),Brain Putamen (basal ganglia),Brain Spinal cord (cervical c-1),Brain Substantia nigra,Breast Mammary Tissue,Cells Cultured fibroblasts,Cells EBV transformed lymphocytes,Cervix Ectocervix,Cervix Endocervix,Colon Sigmoid,Colon Transverse,Esophagus Gastroesophageal Junction,Esophagus Mucosa,Esophagus Muscularis,Fallopian Tube,Heart Atrial Appendage,Heart Left Ventricle,Kidney Cortex,Kidney Medulla,Liver,Lung,Minor Salivary Gland,Muscle Skeletal,Nerve Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Small Intestine Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000116688.16,MFN2,60.7954,53.4474,44.8288,52.3031,57.6186,74.6745,79.3492,42.4389,51.447,50.2839,88.2514,81.6991,64.8586,74.5587,41.7129,54.2786,54.8983,45.394,60.5997,53.635,58.445,76.6298,57.4752,58.7789,56.562,106.305,63.3505,119.713,81.8457,143.115,59.8109,137.481,173.372,29.8203,39.3089,39.3594,63.6268,45.5927,158.447,63.0193,58.1392,14.7777,55.8728,68.1756,94.0585,99.2861,57.5389,53.7937,52.4337,59.3191,92.6395,72.6984,71.7272,46.0569
ENSG00000162551.13,ALPL,19.1617,30.3592,79.395,4.42818,17.7919,1.87991,5.34384,9.9848,13.3313,9.95154,6.03441,7.21505,15.571,14.6947,11.5978,10.1316,6.8798,9.37342,9.15598,10.6831,29.7582,3.60129,0.197842,4.79832,7.15785,2.75395,5.48765,3.49466,5.59808,3.39738,9.72494,11.9453,9.43951,26.1397,12.3686,52.2395,87.2188,7.8985,0.688112,10.7158,4.51338,2.87842,12.7444,12.6482,5.02105,5.40707,10.6755,82.5797,5.68094,10.6297,16.7658,8.41469,5.53065,597.63
ENSG00000142798.17,HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982
ENSG00000134200.3,TSHB,0.0880876,0.0629251,0,0.552104,0.323091,0.907763,0.449399,0,0,0,0,0.154946,0,0,0,0.0537155,0,0,0,0,0.0756408,0,0,0.204859,0.244279,0.677945,0.284254,0.494016,0.0808604,0.409544,0.3992,0,0,0.0997577,0.054196,0,0.141849,0.0840301,0,0.056177,0.0964906,0.0339409,634.754,0.236603,0,0.0678492,0.17413,0.0952196,0.144159,0.966466,0,0.935019,0.127888,0.0776241
ENSG00000134250.19,NOTCH2,31.613,21.3547,14.7576,56.7582,39.9182,52.1615,22.4669,6.52145,6.86355,8.47721,2.21935,4.64874,8.45494,6.85632,4.19428,3.16771,6.08653,5.94289,2.89004,3.60971,25.9681,76.4516,1.65911,35.9153,35.4436,21.405,14.5231,21.9426,27.4388,23.6984,28.7317,9.22363,3.57179,4.62321,8.21947,7.00082,31.1856,20.842,3.38842,38.172,35.1594,6.58557,5.13569,21.6334,40.2251,42.2442,15.6225,26.2228,8.00555,27.8415,27.628,33.3226,35.4744,17.7279
ENSG00000143369.14,ECM1,57.5994,26.6133,15.1217,34.1022,38.4137,23.0147,21.3972,2.9591,7.51535,3.96119,12.0593,15.5112,13.6915,12.6996,3.56887,4.88348,3.55251,4.11558,3.68134,4.08442,28.2973,71.0637,1.64734,60.3056,37.8056,19.9849,15.4101,29.8641,987.086,24.3297,22.9204,45.7722,13.1812,10.3538,8.65471,16.4693,37.5215,14.6761,3.80756,31.737,11.3152,1.72569,19.101,22.0215,42.2998,63.2271,12.5185,14.3416,8.54132,7.49476,18.7557,34.4021,235.007,0.558443
ENSG00000160789.19,LMNA,199.229,169.505,107.94,300.598,212.842,242.363,145.394,10.0509,8.29817,11.334,21.0495,23.4216,11.031,9.62297,11.8861,15.4544,8.65058,11.4078,24.7087,16.0773,183.684,392.66,87.4466,225.7,167.702,126.944,110.737,155.837,164.092,132.883,169.053,77.9224,50.4412,45.7923,64.592,27.0291,158.442,119.651,60.2232,224.141,166.537,24.8855,57.6316,105.189,297.706,272.557,85.1078,61.9517,77.2485,58.3796,140.381,255.829,192.208,6.02904
ENSG00000117479.12,SLC19A2,25.1617,47.7942,13.814,19.4828,25.0065,26.6646,29.8715,2.42728,3.83104,3.56836,14.9328,14.2639,4.34647,5.40659,2.83488,3.67605,4.14105,2.7046,2.81176,3.04116,33.0115,15.9003,8.46708,20.0929,17.2444,17.0965,11.9346,26.6191,11.8875,19.1005,44.5701,22.1927,10.9434,8.49819,11.2804,14.1797,30.0144,18.1856,88.0581,28.5886,34.2097,9.83759,30.8324,17.6039,25.5981,23.2992,13.0731,4.23862,20.7179,15.9687,29.7334,19.3606,21.9397,0.903627
ENSG00000162711.16,NLRP3,2.73041,3.42468,0.851566,2.36271,2.64033,1.34975,0.989255,1.23565,1.46439,0.95857,0.557695,0.551076,2.30732,2.1024,1.29804,1.63826,1.82388,0.790121,2.77251,1.47193,1.52036,0.0727375,0.0916802,0.557996,1.03711,1.17588,1.00517,0.853691,0.479782,0.768026,1.68114,0.619463,0.24133,0.321581,0.480627,0.246078,6.72553,0.941008,0.322917,2.85415,0.647215,0.225984,0.836606,0.938848,0.487446,0.540159,2.07177,6.4675,0.633134,0.666466,0.905908,1.00214,0.778221,23.3094
ENSG00000277893.1,SRD5A2,0.0364893,0.0204084,0.0478041,0.0150257,0.0200091,0.00823082,0.22012,0.0137175,0.0138836,0.0146089,0.104048,0.0939551,0.0141612,0.0118382,0.0188223,0.0408653,0.0183226,0.0111279,0.0195332,0.0211814,0.0733637,0,0,0.635,0.670922,0.0130548,0.0102039,0.014019,0.0193863,0.0146155,0.544904,0,0,0.111902,0.031302,11.2164,0.231588,0.0647521,0.117264,0.0280767,0.0452968,0.0094898,0.0708218,25.7462,0.0510958,0.0442816,0.0167837,0.0382016,0.0321797,3.73892,0.0208044,0.0581791,2.32056,0
ENSG00000138079.13,SLC3A1,0.213328,0.100064,0.0553742,0.196657,0.146859,0.29059,0.135392,0.148406,0.224037,0.164205,1.18942,1.10537,0.275996,0.28392,0.182156,0.251335,0.204155,0.147099,0.149505,0.136021,0.179593,0.0320852,0.0787099,0.253454,0.339856,0.148522,2.2233,0.121582,0.0506502,0.105715,0.347932,0.0620658,0.0360998,29.4032,18.2637,0.693405,0.179085,0.0798848,0.0904329,0.382865,0.18558,13.7143,0.238383,0.28028,0.187383,0.225305,14.8383,0.155504,0.23843,1.2567,0.170158,0.238433,0.134622,0.0720717
ENSG00000204843.12,DCTN1,73.8913,62.6271,61.6681,109.286,95.7092,115.274,82.6779,73.0614,97.0366,91.2857,212.629,206.331,156.541,173.898,81.4476,95.0985,103.49,85.3505,101.99,81.988,68.5396,125.724,56.6079,101.099,100.67,88.9671,60.007,92.5685,60.4165,92.8079,87.3953,44.0391,50.1428,29.4951,33.9869,16.2214,78.0163,90.381,52.2299,108.154,89.8545,21.3227,134.323,66.072,65.2817,69.645,52.8274,55.5352,47.3689,133.773,75.5158,114.306,77.5046,27.8073
ENSG00000264229.1,RNU4ATAC,1.26722,1.12529,0.43518,0.525031,0.567219,0.617429,1.04637,0.691597,0.481876,0.687374,0.596792,0.538756,0.350637,0.427519,0.747204,0.813898,0.723571,0.594615,1.12015,0.875124,1.20354,0.361841,0.343426,1.12257,0.639639,0.603673,0.716288,0.44658,0.279542,0.408239,1.13302,0.453727,0.256004,0.20724,0.698522,0.231448,0.824986,0.396876,0,1.07738,0.503534,0.220906,1.13747,0.567213,0.518472,0.290818,0.569836,0.401576,0.352855,1.84198,0.502043,0.398531,0.659212,0
ENSG00000136717.14,BIN1,63.7519,56.2274,100.26,25.1751,35.3787,22.3391,125.797,121.648,101.568,112.54,179.326,168.937,133.653,134.403,150.785,125.124,120.513,129.646,203.127,142.491,51.9335,45.6862,41.8063,88.3474,99.4443,49.7893,34.6241,53.5285,14.4536,47.5808,100.651,7.77205,7.34076,55.1147,44.0323,17.8769,39.0369,22.1414,953.182,143.909,59.3794,11.4126,69.6339,77.5873,14.5792,17.3864,45.6778,78.8587,40.8087,21.7204,53.1231,83.325,57.0319,22.6355
ENSG00000180228.12,PRKRA,40.1088,33.132,23.0681,59.3988,50.8024,67.7091,40.8971,19.679,21.6379,19.5544,43.6404,36.876,22.5038,27.6075,19.2178,24.3807,20.7798,16.3774,35.2395,20.4667,38.0422,36.4627,49.9454,47.3284,48.289,48.8461,28.5148,46.2923,24.9516,47.8488,45.9666,18.7682,19.1562,21.522,32.249,11.6794,35.5649,27.6026,54.3646,45.8138,45.3537,13.5353,37.9687,41.0606,37.1489,40.5784,23.6164,22.3564,22.0573,50.0425,38.0232,52.0859,37.4633,4.34502
ENSG00000119042.16,SATB2,3.53991,1.81087,5.02386,4.43591,2.22191,3.85403,2.44544,0.907799,5.94485,0.868206,0.526927,0.67187,9.57774,14.3848,1.86777,1.01339,0.60495,0.752724,4.36498,1.27595,2.87972,8.28729,0.0412566,3.81258,4.14376,1.49084,19.363,1.50168,0.850074,1.49719,2.1779,0.444791,0.19863,1.27313,3.37674,1.43751,1.32555,1.79932,1.17979,4.35306,2.61207,1.46804,0.657628,2.8878,2.20207,2.40731,5.18231,1.00731,0.974033,3.41057,2.61584,2.85526,4.66723,0.0724073
ENSG00000138375.12,SMARCAL1,14.1641,12.0673,11.7225,14.312,13.8278,15.4481,14.9324,4.57222,5.35403,5.41521,7.40527,7.16304,7.05751,7.1743,4.53047,7.08461,5.40443,4.49527,8.69853,5.56287,13.516,25.0143,22.5656,20.4779,19.7528,11.9175,9.10859,10.7372,11.2224,10.6677,14.9667,6.09995,3.48282,5.55299,6.85627,3.27624,11.4067,9.45232,6.00976,18.3825,19.8852,4.35864,14.5359,12.5547,13.201,13.3574,10.6586,13.4545,7.83191,15.7395,15.1134,18.9892,14.6265,5.57934
ENSG00000135929.8,CYP27A1,39.841,38.6303,74.6985,85.857,55.7665,34.6108,55.3454,23.0163,17.6657,28.5184,12.9358,19.0452,22.4601,18.661,29.3271,28.9327,22.8637,31.2355,113.619,45.6854,47.467,20.39,1.68263,65.577,75.4274,46.7905,42.4371,47.3817,12.311,39.2755,58.1045,28.6278,9.22665,27.3585,20.1257,332.028,119.447,69.4841,23.7911,127.563,77.2235,5.34629,64.2761,85.2334,29.5871,31.8069,71.8125,24.9346,16.5257,33.6985,30.9324,49.3529,51.0504,18.2392
ENSG00000144591.18,GMPPA,26.5782,27.4072,24.8135,46.6417,42.9044,31.6892,32.2367,8.34766,9.92485,9.72738,26.3819,28.0296,15.1386,13.7094,9.14583,9.99812,9.51178,9.0181,12.3067,10.9197,31.5691,56.4294,42.117,55.9898,62.9723,27.6956,31.0216,26.5881,25.9576,25.367,41.9683,18.8633,11.4552,17.9452,26.5052,30.6118,33.9345,36.6787,13.4994,37.1816,36.5109,28.9428,78.7831,58.4865,21.5801,21.765,35.4425,44.2927,28.7552,17.6727,51.0196,49.4508,36.5645,13.8164
ENSG00000163359.15,COL6A3,188.34,103.951,8.4109,47.369,84.0163,64.1482,133.874,0.16703,0.196783,0.224439,0.187199,0.296622,0.26142,0.182861,0.421229,0.227745,0.170127,0.241038,0.477921,0.254782,120.689,1201.4,0.243266,276.593,263.764,161.807,66.9322,94.4366,25.82,69.6792,145.911,43.7728,19.6891,3.22353,6.02255,3.31236,104.036,56.6819,14.9085,66.9841,187.254,12.1644,4.67161,52.1961,42.6887,52.9668,63.9158,21.9801,22.6048,11.9832,68.1116,224.113,127.821,0.204219
