Gene ID	Ensembl ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
B3GALT6	ENSG00000176022.4	14.8647	14.8365	12.7458	14.743	16.7567	12.6481	14.8299	10.9376	14.3451	10.0577	13.702	13.0824	15.6484	18.1414	12.5009	14.3328	11.3118	9.18509	10.8194	8.18991	15.9684	29.9052	11.9547	15.7761	20.0345	12.3868	9.85327	11.7923	10.9452	11.6618	18.5873	7.7483	6.40932	7.68876	13.4718	8.79121	15.0709	10.4592	7.08472	18.4557	15.9016	8.31665	18.5498	16.291	15.6651	15.244	11.2732	18.9761	10.7456	13.4474	18.0893	23.0967	13.375	4.41826
ATAD3A	ENSG00000197785.13	15.6924	14.6123	17.3326	14.6061	15.1522	13.743	18.6217	7.49218	10.1411	8.04102	16.6613	17.1611	13.0146	12.5947	8.30566	9.15248	8.77694	7.32559	9.85204	7.58681	16.572	32.1132	34.3654	18.2141	21.9587	14.9234	14.7493	15.3472	23.2084	16.2024	22.1	10.1588	9.05116	10.4395	14.3091	13.2302	18.3178	17.0178	17.0668	20.8474	17.0053	10.6728	28.4556	19.938	19.5921	20.76	15.5457	20.2293	13.7157	25.9997	21.5443	20.3338	18.8045	4.89505
TMEM240	ENSG00000205090.8	3.29426	3.08961	2.39958	7.55524	6.07757	5.96808	8.29213	11.6485	18.3887	19.233	59.7245	57.8529	26.7017	28.4286	13.8266	12.2355	22.8807	14.8425	5.70846	7.00453	3.33129	4.38393	0.164737	16.5964	12.7306	14.2111	4.76666	12.2907	1.81555	11.1648	9.3938	2.93476	2.16574	1.2319	1.80784	0.447633	3.82775	1.84031	1.19392	6.88603	15.6377	0.419042	14.1797	8.33383	1.9606	2.11526	2.46952	3.22422	1.7131	3.29713	5.6692	17.7394	7.3674	0.429757
GNB1	ENSG00000078369.17	228.115	189.693	148.303	288.537	251.576	305.123	209.648	191.097	308.374	200.436	371.173	302.032	325.887	395.771	168.627	185.035	200.701	168.75	200.648	149.589	195.144	327.216	267.368	207.668	228.904	205.824	150.923	194.317	125.435	200.731	219.297	77.5773	54.3285	97.1207	125.254	50.2296	248.57	139.243	32.6671	228.527	197.377	45.7153	181.727	161.019	165.74	173.284	175.209	171.766	109.68	133.501	176.18	250.195	181.619	152.405
SKI	ENSG00000157933.9	73.3703	62.204	20.7518	150.885	104.454	154.427	65.3253	20.9081	26.4677	25.2683	235.379	233.049	32.2497	31.0717	21.9211	19.0452	29.2664	19.5494	26.3382	15.8805	62.8839	58.6372	11.7641	90.2708	99.0395	67.3979	36.8175	80.4155	36.0297	78.0817	80.4267	32.6926	15.2111	13.6933	32.0796	15.6877	73.6276	42.9167	16.9895	86.7798	79.962	9.34967	43.6429	55.1404	60.1223	71.349	42.1601	42.9771	24.1811	33.2034	60.5281	107.148	61.8789	11.8519
PEX10	ENSG00000157911.9	16.1067	12.4073	23.3003	11.3334	12.3368	12.9654	14.2203	14.4712	16.4199	15.4692	10.166	11.404	17.6	17.3257	12.381	13.5947	16.7069	13.068	22.137	15.1282	14.7433	20.1057	15.2465	12.7927	15.3073	11.0858	9.42833	10.3552	14.1934	10.6977	11.6429	6.16257	5.61396	8.86376	11.1932	6.23842	10.3544	13.0938	8.26972	20.8252	15.9532	7.30935	18.3434	15.6902	13.0844	14.3016	8.91911	9.19418	8.94497	33.5403	16.5292	13.8356	13.3937	2.0224
CEP104	ENSG00000116198.12	11.1964	10.0407	11.9107	14.5832	14.6544	20.3623	15.0673	6.13179	5.40096	6.89329	13.9015	13.7609	6.60654	7.26516	6.82902	7.51684	6.65785	6.63281	14.4154	8.89636	10.7279	12.1637	12.1631	12.5399	14.9037	13.3324	9.05898	14.7558	9.23046	16.5158	14.8872	4.90549	3.84858	6.8121	6.58191	5.49655	11.5614	10.458	6.89337	16.0334	13.3725	5.13355	14.4391	12.0507	10.4192	10.6148	9.51558	9.2987	7.84038	19.9106	13.8125	15.6945	11.7284	2.65219
CAMTA1	ENSG00000171735.18	5.95195	5.31641	5.24022	12.7986	11.5444	13.8103	7.92147	10.3231	15.1402	14.6767	52.8215	35.199	17.9756	29.2645	10.4312	17.6396	14.0672	13.0961	12.6036	10.1475	6.57305	5.86728	5.70101	7.00506	6.60015	10.3896	6.39142	9.8555	3.92187	10.1794	7.71239	6.22438	4.70292	5.78018	7.44734	2.84413	8.19472	5.53691	4.57154	9.07807	6.37487	1.74727	12.0206	7.96752	4.75011	4.76834	4.24045	8.88229	4.52391	10.9858	8.1502	8.11522	6.15732	1.16292
SLC45A1	ENSG00000162426.14	5.40263	4.50408	2.35126	13.7177	7.65469	10.7259	7.40556	6.40571	10.0296	10.0717	24.9524	28.3567	18.3328	17.6264	6.9358	11.2695	10.8656	8.51528	7.20812	7.76412	5.21164	4.69387	0.0965331	10.8174	11.0348	9.22431	3.78543	11.4517	1.31756	13.1568	12.6059	2.40217	1.29612	6.20173	3.71079	0.21513	2.55322	2.07317	1.09918	9.18312	8.19278	0.517694	18.7924	8.15541	1.55295	1.95555	3.08172	3.93463	2.03796	4.94892	3.86342	15.5764	6.5748	0.19549
RERE	ENSG00000142599.17	75.6876	48.0361	46.5973	78.6498	69.1584	92.1959	86.4662	18.4203	26.0446	19.702	73.1042	75.886	34.5937	33.6096	17.2926	22.0173	23.4174	16.0603	16.8503	14.9575	70.5331	33.4627	35.6353	92.8794	117.434	83.1963	47.0896	83.1466	30.1494	87.8816	80.2608	36.852	28.4774	32.8901	32.8179	11.5137	54.0128	41.356	78.2087	61.5245	63.784	15.6033	47.2153	80.7356	35.6644	42.4173	47.9515	52.8757	33.5644	60.2877	79.0703	142.529	57.4958	17.4053
