Ensembl ID	Gene ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000186827.10	TNFRSF4	9.23756	15.2584	0.776524	2.56503	2.92234	1.80012	3.82554	0.627776	0.696072	0.433878	1.07042	1.25676	1.51674	1.31074	1.00611	0.59837	0.448421	0.465603	0.672487	0.536857	9.47877	0.11721	11.0029	3.40601	4.07947	2.02461	4.55059	2.15913	1.34158	1.91164	3.20498	2.54039	3.18482	2.10538	4.30445	0.607381	13.8513	2.68277	1.63613	2.41166	1.9558	0.745113	3.07547	6.22104	1.87947	1.92813	7.26452	23.2338	2.75109	0.96684	9.95206	3.07209	2.28543	5.45951
ENSG00000131697.17	NPHP4	7.91019	8.19833	4.73534	5.87667	6.5902	5.83558	6.51237	3.45856	4.90492	5.40978	8.06158	10.0074	8.18542	6.15298	4.44664	4.4237	6.84004	4.17297	3.47974	3.09932	8.56639	7.80954	6.44369	9.15004	10.7289	6.00858	4.70351	5.84507	4.37544	5.56756	6.70611	2.79748	1.59892	3.75027	4.90315	1.53755	9.98693	5.12152	1.74277	13.692	10.4295	2.79323	22.2512	7.007	11.9718	11.3199	5.25085	6.01049	3.74882	20.9908	21.5424	10.0467	7.71905	1.77939
ENSG00000171608.15	PIK3CD	9.18189	11.4743	3.61195	10.509	9.78622	9.4233	10.9406	4.143	5.56862	3.03983	6.54845	7.29307	8.15273	7.30733	4.80408	4.57435	2.72936	2.79804	4.58794	4.58069	7.34	8.24163	111.7	10.599	14.0773	9.4146	7.14466	9.29016	6.87042	9.64654	12.1961	2.7405	1.61935	5.77365	8.87587	2.14619	23.9939	6.20279	0.824632	10.4476	14.4936	1.75359	5.16874	8.70344	4.39521	4.88559	15.7367	83.9412	5.03416	9.40802	11.1744	12.3626	10.2526	96.7038
ENSG00000083444.16	PLOD1	66.6171	71.5513	43.752	108.387	89.6474	59.4064	63.6802	17.1064	18.1469	23.2427	17.3569	19.8047	20.9128	21.8246	18.4243	27.5268	19.7322	23.2497	21.854	23.7266	62.7695	314.94	49.4467	90.27	107.068	73.0905	41.6559	73.8885	26.4767	73.2917	86.7584	44.8868	34.6605	38.4906	26.9165	48.2449	75.5228	50.5391	24.0542	85.056	92.3411	22.7851	49.1386	59.7253	37.7223	38.6177	35.5502	46.7481	33.6907	21.5948	65.7826	113.159	59.952	39.0073
ENSG00000117118.9	SDHB	83.8592	81.7291	104.82	94.2728	90.7998	104.187	84.226	46.6468	58.2863	52.2215	96.7259	83.9014	64.6546	77.9711	44.0469	51.7652	56.6536	45.3735	61.4575	53.3442	81.7651	117.26	144.514	71.0604	72.8107	90.0647	104.154	90.0633	82.9173	93.258	83.6811	122.813	168.243	95.1223	104.519	124.93	81.1531	67.7655	177.639	94.163	61.0341	37.6777	60.6042	54.9552	65.7119	68.5217	88.202	74.8022	87.4159	91.0406	75.6008	84.7228	73.5014	52.7293
ENSG00000162551.13	ALPL	19.1617	30.3592	79.395	4.42818	17.7919	1.87991	5.34384	9.9848	13.3313	9.95154	6.03441	7.21505	15.571	14.6947	11.5978	10.1316	6.8798	9.37342	9.15598	10.6831	29.7582	3.60129	0.197842	4.79832	7.15785	2.75395	5.48765	3.49466	5.59808	3.39738	9.72494	11.9453	9.43951	26.1397	12.3686	52.2395	87.2188	7.8985	0.688112	10.7158	4.51338	2.87842	12.7444	12.6482	5.02105	5.40707	10.6755	82.5797	5.68094	10.6297	16.7658	8.41469	5.53065	597.63
ENSG00000179163.11	FUCA1	33.3941	32.4421	44.0306	58.6832	45.4272	34.9232	24.5451	6.38735	7.02816	7.73909	12.881	10.872	8.06955	10.0367	6.50843	11.1105	8.16543	6.64082	14.3648	7.41113	28.5932	4.86574	45.9807	29.1423	42.2827	25.9251	65.5119	25.4889	16.6126	22.6443	37.6252	11.7681	6.96344	30.5704	50.489	24.37	41.2577	65.1916	8.59185	27.2825	39.7876	13.5375	34.7969	39.4006	17.953	20.0293	74.3925	60.1725	33.0153	42.1617	78.0754	36.002	25.5065	11.2631
ENSG00000188672.17	RHCE	0.305772	0.205073	0.475566	0.228287	0.181425	0.186262	0.225597	0.931822	0.984297	1.31112	1.17004	1.02031	1.07567	1.17362	0.819785	0.781068	1.7366	1.15572	1.88148	0.980864	0.330139	1.09835	0.414233	0.330341	0.290703	0.186425	0.205092	0.153397	0.586626	0.163231	0.34698	0.47185	0.391448	0.171604	0.136522	0.542472	0.459313	2.60224	0.736585	0.453501	0.602437	0.445211	4.32607	0.667664	0.510404	0.579274	0.169878	0.434372	0.291968	4.12606	0.469165	0.293307	0.575902	2.33576
ENSG00000159023.19	EPB41	8.62822	8.85933	8.83226	6.73978	5.94936	5.09653	9.64978	1.15878	1.59431	6.29763	91.482	83.2708	3.24223	3.21658	0.867253	2.83635	4.96411	5.87412	2.21317	2.16002	9.71398	1.45197	11.9262	11.0301	11.1557	8.96762	9.84272	5.41044	12.3024	5.69421	7.24064	4.39174	3.32285	5.75531	8.17767	9.39784	13.5252	10.61	6.72923	3.84101	13.7088	6.59377	8.65442	10.5913	14.9064	14.6653	15.9887	14.975	11.0993	10.3093	12.539	13.5018	10.8257	18.4447
ENSG00000004455.16	AK2	45.9983	44.0513	37.576	36.7216	41.3194	36.3073	41.2197	13.1179	11.5303	13.7937	35.1854	35.1588	12.6702	13.3003	13.1387	16.6064	12.8917	12.834	30.4982	18.8189	50.8832	72.7295	137.468	49.4539	52.2971	37.5349	43.2233	34.6208	48.2599	33.7864	51.1445	23.6238	18.0554	47.3275	55.7275	37.7737	44.7906	39.5911	30.225	56.6179	46.8256	15.5624	34.6375	42.6987	42.0079	42.2423	48.081	39.3838	33.5949	36.6694	70.7348	51.7796	48.3495	18.5503
