Ensembl ID	HPO	hgncSymbol
ENSG00000186827.10	Abdomen-abnormality	TNFRSF4
ENSG00000176022.4	Abdomen-abnormality	B3GALT6
ENSG00000157933.9	Abdomen-abnormality	SKI
ENSG00000171608.15	Abdomen-abnormality	PIK3CD
ENSG00000009724.16	Abdomen-abnormality	MASP2
ENSG00000083444.16	Abdomen-abnormality	PLOD1
ENSG00000184908.17	Abdomen-abnormality	CLCNKB
ENSG00000117118.9	Abdomen-abnormality	SDHB
ENSG00000244038.9	Abdomen-abnormality	DDOST
ENSG00000117298.14	Abdomen-abnormality	ECE1
ENSG00000162551.13	Abdomen-abnormality	ALPL
ENSG00000142798.17	Abdomen-abnormality	HSPG2
ENSG00000117308.14	Abdomen-abnormality	GALE
ENSG00000117305.14	Abdomen-abnormality	HMGCL
ENSG00000179163.11	Abdomen-abnormality	FUCA1
ENSG00000158014.14	Abdomen-abnormality	SLC30A2
ENSG00000117713.18	Abdomen-abnormality	ARID1A
ENSG00000182866.16	Abdomen-abnormality	LCK
ENSG00000121905.9	Abdomen-abnormality	HPCA
ENSG00000004455.16	Abdomen-abnormality	AK2
ENSG00000171812.12	Abdomen-abnormality	COL8A2
ENSG00000119535.17	Abdomen-abnormality	CSF3R
ENSG00000163877.10	Abdomen-abnormality	SNIP1
ENSG00000164007.10	Abdomen-abnormality	CLDN19
ENSG00000117400.16	Abdomen-abnormality	MPL
ENSG00000117425.13	Abdomen-abnormality	PTCH2
ENSG00000132781.17	Abdomen-abnormality	MUTYH
ENSG00000132763.14	Abdomen-abnormality	MMACHC
ENSG00000157184.6	Abdomen-abnormality	CPT2
ENSG00000116133.11	Abdomen-abnormality	DHCR24
ENSG00000162599.15	Abdomen-abnormality	NFIA
ENSG00000088035.15	Abdomen-abnormality	ALG6
ENSG00000079739.15	Abdomen-abnormality	PGM1
ENSG00000117054.13	Abdomen-abnormality	ACADM
ENSG00000142867.12	Abdomen-abnormality	BCL10
ENSG00000117528.11	Abdomen-abnormality	ABCD3
ENSG00000162688.16	Abdomen-abnormality	AGL
ENSG00000060718.20	Abdomen-abnormality	COL11A1
ENSG00000171385.9	Abdomen-abnormality	KCND3
ENSG00000155380.11	Abdomen-abnormality	SLC16A1
ENSG00000198799.11	Abdomen-abnormality	LRIG2
ENSG00000134242.15	Abdomen-abnormality	PTPN22
ENSG00000134200.3	Abdomen-abnormality	TSHB
ENSG00000134250.19	Abdomen-abnormality	NOTCH2
ENSG00000265241.6	Abdomen-abnormality	RBM8A
ENSG00000168509.19	Abdomen-abnormality	HFE2
ENSG00000143368.9	Abdomen-abnormality	SF3B4
ENSG00000136631.12	Abdomen-abnormality	VPS45
ENSG00000143374.16	Abdomen-abnormality	TARS2
ENSG00000143369.14	Abdomen-abnormality	ECM1
ENSG00000143387.12	Abdomen-abnormality	CTSK
ENSG00000160712.12	Abdomen-abnormality	IL6R
ENSG00000179085.7	Abdomen-abnormality	DPM3
ENSG00000177628.15	Abdomen-abnormality	GBA
ENSG00000143627.17	Abdomen-abnormality	PKLR
ENSG00000143622.10	Abdomen-abnormality	RIT1
ENSG00000160789.19	Abdomen-abnormality	LMNA
ENSG00000163554.12	Abdomen-abnormality	SPTA1
ENSG00000143315.6	Abdomen-abnormality	PIGM
ENSG00000162735.18	Abdomen-abnormality	PEX19
ENSG00000143224.17	Abdomen-abnormality	PPOX
ENSG00000158887.15	Abdomen-abnormality	MPZ
ENSG00000143183.16	Abdomen-abnormality	TMCO1
ENSG00000117479.12	Abdomen-abnormality	SLC19A2
ENSG00000116132.11	Abdomen-abnormality	PRRX1
ENSG00000007933.12	Abdomen-abnormality	FMO3
ENSG00000116701.14	Abdomen-abnormality	NCF2
ENSG00000116711.9	Abdomen-abnormality	PLA2G4A
ENSG00000134371.10	Abdomen-abnormality	CDC73
ENSG00000000971.15	Abdomen-abnormality	CFH
ENSG00000118197.13	Abdomen-abnormality	DDX59
ENSG00000081277.12	Abdomen-abnormality	PKP1
ENSG00000136634.5	Abdomen-abnormality	IL10
ENSG00000143469.18	Abdomen-abnormality	SYT14
ENSG00000143473.12	Abdomen-abnormality	KCNH1
ENSG00000162769.12	Abdomen-abnormality	FLVCR1
ENSG00000117724.12	Abdomen-abnormality	CENPF
ENSG00000092969.11	Abdomen-abnormality	TGFB2
ENSG00000196660.10	Abdomen-abnormality	SLC30A10
ENSG00000143815.14	Abdomen-abnormality	LBR
ENSG00000143819.12	Abdomen-abnormality	EPHX1
ENSG00000143801.16	Abdomen-abnormality	PSEN2
ENSG00000198835.3	Abdomen-abnormality	GJC2
ENSG00000143632.14	Abdomen-abnormality	ACTA1
ENSG00000010072.15	Abdomen-abnormality	SPRTN
ENSG00000168275.14	Abdomen-abnormality	COA6
ENSG00000116957.12	Abdomen-abnormality	TBCE
ENSG00000143669.13	Abdomen-abnormality	LYST
ENSG00000116984.12	Abdomen-abnormality	MTR
ENSG00000133019.11	Abdomen-abnormality	CHRM3
ENSG00000091483.6	Abdomen-abnormality	FH
ENSG00000162711.16	Abdomen-abnormality	NLRP3
ENSG00000171865.9	Abdomen-abnormality	RNASEH1
ENSG00000151694.12	Abdomen-abnormality	ADAM17
ENSG00000134323.11	Abdomen-abnormality	MYCN
ENSG00000115138.10	Abdomen-abnormality	POMC
ENSG00000119772.16	Abdomen-abnormality	DNMT3A
ENSG00000084754.10	Abdomen-abnormality	HADHA
ENSG00000115204.14	Abdomen-abnormality	MPV17
ENSG00000138002.14	Abdomen-abnormality	IFT172
ENSG00000091106.18	Abdomen-abnormality	NLRC4
ENSG00000138075.11	Abdomen-abnormality	ABCG5
ENSG00000143921.6	Abdomen-abnormality	ABCG8
ENSG00000138095.18	Abdomen-abnormality	LRPPRC
ENSG00000138079.13	Abdomen-abnormality	SLC3A1
ENSG00000138083.4	Abdomen-abnormality	SIX3
ENSG00000068724.15	Abdomen-abnormality	TTC7A
ENSG00000119888.10	Abdomen-abnormality	EPCAM
ENSG00000095002.13	Abdomen-abnormality	MSH2
ENSG00000170820.11	Abdomen-abnormality	FSHR
ENSG00000179915.22	Abdomen-abnormality	NRXN1
ENSG00000169604.19	Abdomen-abnormality	ANTXR1
ENSG00000169599.12	Abdomen-abnormality	NFU1
ENSG00000124370.10	Abdomen-abnormality	MCEE
ENSG00000116127.17	Abdomen-abnormality	ALMS1
ENSG00000163017.13	Abdomen-abnormality	ACTG2
ENSG00000114956.19	Abdomen-abnormality	DGUOK
ENSG00000163170.11	Abdomen-abnormality	BOLA3
ENSG00000115275.11	Abdomen-abnormality	MOGS
ENSG00000115386.5	Abdomen-abnormality	REG1A
ENSG00000163541.11	Abdomen-abnormality	SUCLG1
ENSG00000115525.17	Abdomen-abnormality	ST3GAL5
ENSG00000068615.17	Abdomen-abnormality	REEP1
ENSG00000172071.11	Abdomen-abnormality	EIF2AK3
ENSG00000211592.8	Abdomen-abnormality	IGKC
ENSG00000115085.13	Abdomen-abnormality	ZAP70
ENSG00000144182.16	Abdomen-abnormality	LIPT1
ENSG00000144061.12	Abdomen-abnormality	NPHP1
ENSG00000136689.18	Abdomen-abnormality	IL1RN
ENSG00000125618.16	Abdomen-abnormality	PAX8
ENSG00000115107.19	Abdomen-abnormality	STEAP3
ENSG00000074047.21	Abdomen-abnormality	GLI2
ENSG00000264229.1	Abdomen-abnormality	RNU4ATAC
ENSG00000136717.14	Abdomen-abnormality	BIN1
ENSG00000136698.8	Abdomen-abnormality	CFC1
ENSG00000115839.17	Abdomen-abnormality	RAB3GAP1
ENSG00000115850.9	Abdomen-abnormality	LCT
ENSG00000076003.4	Abdomen-abnormality	MCM6
ENSG00000169554.18	Abdomen-abnormality	ZEB2
ENSG00000204406.12	Abdomen-abnormality	MBD5
ENSG00000168288.12	Abdomen-abnormality	MMADHC
ENSG00000183091.19	Abdomen-abnormality	NEB
ENSG00000136531.15	Abdomen-abnormality	SCN2A
ENSG00000123607.14	Abdomen-abnormality	TTC21B
ENSG00000144285.17	Abdomen-abnormality	SCN1A
ENSG00000073734.8	Abdomen-abnormality	ABCB11
ENSG00000081479.12	Abdomen-abnormality	LRP2
ENSG00000091409.14	Abdomen-abnormality	ITGA6
ENSG00000115935.17	Abdomen-abnormality	WIPF1
ENSG00000128714.5	Abdomen-abnormality	HOXD13
ENSG00000180228.12	Abdomen-abnormality	PRKRA
ENSG00000155657.26	Abdomen-abnormality	TTN
ENSG00000168542.14	Abdomen-abnormality	COL3A1
ENSG00000138449.10	Abdomen-abnormality	SLC40A1
ENSG00000064933.17	Abdomen-abnormality	PMS1
ENSG00000198130.15	Abdomen-abnormality	HIBCH
ENSG00000144381.16	Abdomen-abnormality	HSPD1
ENSG00000247626.4	Abdomen-abnormality	MARS2
ENSG00000119042.16	Abdomen-abnormality	SATB2
ENSG00000064012.21	Abdomen-abnormality	CASP8
ENSG00000003393.14	Abdomen-abnormality	ALS2
ENSG00000163599.14	Abdomen-abnormality	CTLA4
